Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,239.5147705078125,239.91000366210938,239.91000366210938,236.72000122070312,238.75,5938400.0
2020-01-03,235.68112182617188,236.07000732421875,237.8300018310547,234.10000610351562,235.10000610351562,5134600.0
2020-01-06,236.6694793701172,237.05999755859375,237.27000427246094,231.27000427246094,232.32000732421875,6565900.0
2020-01-07,239.53472900390625,239.92999267578125,241.77000427246094,236.38999938964844,238.1999969482422,7871400.0
2020-01-08,239.9840087890625,240.3800048828125,242.0399932861328,238.14999389648438,239.75999450683594,6927700.0
2020-01-09,242.61965942382812,243.02000427246094,245.92999267578125,240.86000061035156,243.85000610351562,6377800.0
2020-01-10,243.91751098632812,244.32000732421875,248.5500030517578,243.75,247.3300018310547,7907400.0
2020-01-13,251.56488037109375,251.97999572753906,252.99000549316406,246.75,247.66000366210938,7996000.0
2020-01-14,246.8726348876953,247.27999877929688,251.27999877929688,246.75,250.25999450683594,8977200.0
2020-01-15,245.16543579101562,245.57000732421875,248.69000244140625,244.52999877929688,247.7899932861328,6577600.0
2020-01-16,248.51991271972656,248.92999267578125,249.1699981689453,246.77999877929688,247.72000122070312,7104800.0
2020-01-17,248.86935424804688,249.27999877929688,250.0,247.3699951171875,249.6999969482422,6344800.0
2020-01-21,247.53155517578125,247.94000244140625,249.2899932861328,246.57000732421875,247.80999755859375,5447900.0
2020-01-22,249.69798278808594,250.11000061035156,253.58999633789062,249.0,249.75999450683594,5981000.0
2020-01-23,252.44345092773438,252.86000061035156,253.1999969482422,248.14999389648438,251.72000122070312,6112900.0
2020-01-24,250.06735229492188,250.47999572753906,259.5,248.3000030517578,257.5,9337800.0
2020-01-27,239.80430603027344,240.1999969482422,242.25,232.22999572753906,238.24000549316406,11763400.0
2020-01-28,247.56149291992188,247.97000122070312,249.27000427246094,240.7100067138672,242.85000610351562,7774400.0
2020-01-29,245.135498046875,245.5399932861328,248.83999633789062,243.94000244140625,247.38999938964844,6471200.0
2020-01-30,245.40505981445312,245.80999755859375,246.35000610351562,239.39999389648438,241.61000061035156,7262600.0
2020-01-31,236.04049682617188,236.42999267578125,244.4499969482422,234.75,243.97000122070312,9260500.0
2020-02-03,239.93409729003906,240.3300018310547,241.11000061035156,235.4499969482422,235.6999969482422,6398200.0
2020-02-04,246.72288513183594,247.1300048828125,247.89999389648438,244.02000427246094,246.02999877929688,6788600.0
2020-02-05,250.34689331054688,250.75999450683594,252.39999389648438,247.41000366210938,251.99000549316406,5205500.0
2020-02-06,253.83116149902344,254.25,254.25,248.8800048828125,252.13999938964844,5457100.0
2020-02-07,251.175537109375,251.58999633789062,253.52999877929688,250.57000732421875,252.63999938964844,4743800.0
2020-02-10,262.53680419921875,262.9700012207031,263.0,252.3000030517578,252.5,13240200.0
2020-02-11,267.44866943359375,267.8900146484375,272.5,264.8299865722656,267.32000732421875,15963900.0
2020-02-12,272.0910339355469,272.5400085449219,272.79998779296875,268.45001220703125,270.010009765625,9366100.0
2020-02-13,270.33392333984375,270.7799987792969,273.4800109863281,269.1099853515625,270.2099914550781,13200400.0
2020-02-14,289.3125915527344,289.7900085449219,294.9700012207031,286.0,287.260009765625,26048100.0
2020-02-18,296.0814514160156,296.57000732421875,297.30999755859375,284.8599853515625,285.6400146484375,15504100.0
2020-02-19,314.1816101074219,314.70001220703125,315.4100036621094,301.489990234375,301.489990234375,17358300.0
2020-02-20,308.19146728515625,308.70001220703125,316.32000732421875,296.3500061035156,312.7699890136719,20251300.0
2020-02-21,293.5855712890625,294.07000732421875,305.20001220703125,290.6600036621094,304.19000244140625,19204500.0
2020-02-24,272.829833984375,273.2799987792969,281.8699951171875,268.0,270.19000244140625,21422900.0
2020-02-25,261.6183166503906,262.04998779296875,278.7900085449219,257.9599914550781,276.29998779296875,26387400.0
2020-02-26,267.2090759277344,267.6499938964844,275.45001220703125,262.0,262.05999755859375,18693300.0
2020-02-27,252.33473205566406,252.60000610351562,267.0,248.88999938964844,254.89999389648438,22660400.0
2020-02-28,269.7863464355469,270.07000732421875,272.4599914550781,241.7899932861328,242.4600067138672,28366900.0
2020-03-02,276.1396789550781,276.42999267578125,277.5899963378906,261.0,276.8999938964844,22268600.0
2020-03-03,265.61077880859375,265.8900146484375,281.07000732421875,262.4599914550781,278.6700134277344,16319800.0
2020-03-04,284.21124267578125,284.510009765625,284.8900146484375,267.20001220703125,270.20001220703125,14935200.0
2020-03-05,273.00299072265625,273.2900085449219,283.20001220703125,271.5,276.5,13508200.0
2020-03-06,265.7606201171875,266.0400085449219,268.3900146484375,258.0,266.0799865722656,12885300.0
2020-03-09,245.18223571777344,245.44000244140625,259.3999938964844,238.17999267578125,239.89999389648438,15354000.0
2020-03-10,260.8057861328125,261.0799865722656,261.0799865722656,245.99000549316406,256.5400085449219,14516200.0
2020-03-11,246.21115112304688,246.47000122070312,256.6000061035156,242.57000732421875,255.4600067138672,12499100.0
2020-03-12,216.0828094482422,216.30999755859375,236.1199951171875,215.8000030517578,225.4600067138672,20413500.0
2020-03-13,240.58705139160156,240.83999633789062,241.02000427246094,219.61000061035156,230.5,15870900.0
2020-03-16,196.19371032714844,196.39999389648438,226.10000610351562,194.0,212.41000366210938,18174300.0
2020-03-17,217.0418243408203,217.27000427246094,220.86000061035156,191.0,200.91000366210938,20840800.0
2020-03-18,202.60699462890625,202.82000732421875,209.94000244140625,180.67999267578125,200.10000610351562,21856700.0
2020-03-19,212.74632263183594,212.97000122070312,216.72999572753906,193.38999938964844,201.9600067138672,19137800.0
