,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belize,205.0,225.0,221.0,243.0,280.0,285.0,312.0,391.0,448.0,538.0,620.0,714.0,819.0,891.0,911.0,936.0,967.0,1018.0,1068.0,1179.0,1363.0,1464.0,1563.0,1742.0,1874.0,1984.0,2138.0,2220.0,2336.0,2373.0,2439.0,2538.0,2458.0,2499.0,2534.0,2615.0,2645.0,2671.0,2792.0,2786.0
Benin,2694.0,3002.0,3242.0,3303.0,3434.0,3697.0,3875.0,3891.0,4166.0,4204.0,4751.0,5117.0,5388.0,5838.0,6083.0,6586.0,6996.0,7523.0,7906.0,8456.0,9069.0,9771.0,10381.0,10953.0,11752.0,12339.0,13219.0,14383.0,15384.0,15861.0,21748.0,22860.0,24309.0,26709.0,29147.0,30531.0,32668.0,34023.0,37173.0,40435.0
Bhutan,196.0,243.0,279.0,311.0,347.0,374.0,412.0,508.0,605.0,667.0,755.0,818.0,854.0,902.0,942.0,1019.0,1100.0,1181.0,1265.0,1376.0,1505.0,1647.0,1832.0,2039.0,2236.0,2459.0,2711.0,3133.0,3538.0,3769.0,4179.0,4688.0,5194.0,5462.0,5871.0,6591.0,7270.0,7934.0,8434.0,8912.0
Bolivia,10787.0,11829.0,12069.0,12038.0,12440.0,12623.0,12546.0,13183.0,14042.0,15141.0,16428.0,17869.0,18577.0,19831.0,21199.0,22653.0,24073.0,25698.0,27283.0,27819.0,29166.0,30333.0,31564.0,33066.0,35393.0,38147.0,41205.0,44233.0,47873.0,49856.0,51922.0,55765.0,61453.0,69841.0,75554.0,77543.0,82736.0,94285.0,100627.0,104694.0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,11258.0,14068.0,16185.0,18199.0,19440.0,20352.0,21709.0,22996.0,25107.0,27012.0,29427.0,32016.0,34470.0,34449.0,35427.0,36495.0,37104.0,38975.0,39732.0,41195.0,44253.0,46394.0,49274.0,51508.0
Botswana,1789.0,2115.0,2603.0,2998.0,3307.0,3675.0,4072.0,4798.0,6129.0,6665.0,7519.0,8253.0,8424.0,8972.0,9091.0,9933.0,10703.0,11761.0,11974.0,13333.0,13907.0,14259.0,15357.0,16388.0,17294.0,18664.0,20847.0,23173.0,25103.0,23358.0,26532.0,28725.0,27718.0,30335.0,34046.0,32971.0,37281.0,38046.0,40704.0,42660.0
Brazil,570249.0,596062.0,636815.0,639447.0,697282.0,776449.0,851863.0,905061.0,939219.0,1006965.0,1000682.0,1044655.0,1063481.0,1139574.0,1225912.0,1306756.0,1360000.0,1430244.0,1450653.0,1479746.0,1579824.0,1638286.0,1714227.0,1768357.0,1921642.0,2046980.0,2193469.0,2388520.0,2559440.0,2575631.0,2798619.0,2970631.0,2998534.0,3133894.0,3187155.0,3014755.0,2939094.0,3017715.0,3130872.0,3222990.0
Brunei,,,,,,12100.0,12001.0,12346.0,12732.0,13519.0,14171.0,15104.0,16183.0,16618.0,17506.0,18672.0,19560.0,19602.0,19703.0,20615.0,21686.0,22789.0,24035.0,25226.0,26050.0,26993.0,29050.0,29858.0,29842.0,29521.0,31199.0,33044.0,35210.0,33885.0,33344.0,25949.0,23633.0,25891.0,26526.0,28045.0
Bulgaria,39489.0,45464.0,50313.0,53868.0,58346.0,61297.0,65847.0,70701.0,74933.0,77457.0,73013.0,67329.0,63061.0,57056.0,56135.0,56388.0,52799.0,52819.0,55988.0,56564.0,60747.0,64474.0,69351.0,74381.0,81344.0,89942.0,99079.0,109186.0,118032.0,114663.0,110139.0,115084.0,118659.0,120469.0,126820.0,131659.0,142624.0,151758.0,160195.0,168553.0
Burkina Faso,2375.0,2666.0,2871.0,2948.0,3102.0,3563.0,3924.0,4015.0,4396.0,4665.0,4808.0,5419.0,5556.0,5885.0,6089.0,6571.0,7428.0,8033.0,8713.0,9495.0,9894.0,10789.0,11431.0,12570.0,13494.0,15135.0,16575.0,17715.0,19110.0,19826.0,23441.0,25515.0,26835.0,28735.0,29761.0,31033.0,35311.0,39413.0,43113.0,46379.0
