,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guatemala,19425.0,21375.0,21897.0,22186.0,23091.0,23687.0,24189.0,25694.0,27628.0,29834.0,31897.0,33948.0,36319.0,38447.0,40640.0,43313.0,45338.0,48005.0,50758.0,53442.0,56024.0,58676.0,61881.0,64712.0,68587.0,73102.0,79402.0,86653.0,91252.0,92429.0,95253.0,101565.0,107167.0,112026.0,118754.0,127566.0,130131.0,133805.0,141423.0,149483.0
Guinea,2700.0,2970.0,3211.0,3381.0,3550.0,3847.0,4047.0,4287.0,4717.0,5096.0,5514.0,5839.0,6168.0,6633.0,7046.0,7529.0,8009.0,8568.0,8976.0,9461.0,9919.0,10516.0,11229.0,11596.0,12193.0,12963.0,13695.0,14975.0,15901.0,15775.0,16855.0,18173.0,18497.0,19731.0,20152.0,20799.0,24399.0,29211.0,31761.0,34153.0
Guinea-Bissau,463.0,504.0,558.0,560.0,612.0,658.0,665.0,720.0,760.0,812.0,881.0,977.0,1030.0,1079.0,1134.0,1204.0,1272.0,1372.0,1152.0,1324.0,1352.0,1411.0,1414.0,1448.0,1529.0,1645.0,1735.0,1839.0,1936.0,2016.0,2145.0,2367.0,2307.0,2386.0,2510.0,3050.0,3288.0,3832.0,4056.0,4314.0
Guyana,1276.0,1403.0,1358.0,1249.0,1321.0,1369.0,1393.0,1427.0,1388.0,1371.0,1379.0,1511.0,1665.0,1844.0,2043.0,2191.0,2409.0,2602.0,2585.0,2703.0,2727.0,2852.0,2930.0,2969.0,3098.0,3135.0,3398.0,3733.0,3881.0,4040.0,6292.0,6772.0,7916.0,8370.0,8360.0,8594.0,8714.0,9307.0,9953.0,10673.0
Haiti,6392.0,7062.0,7291.0,7465.0,7745.0,8054.0,8239.0,8412.0,8755.0,8993.0,9285.0,9715.0,9713.0,9454.0,8535.0,9575.0,10154.0,10607.0,10956.0,11425.0,11787.0,11929.0,12082.0,12368.0,12260.0,12883.0,13578.0,14405.0,14812.0,15384.0,15200.0,16375.0,16298.0,17416.0,18135.0,18235.0,19050.0,19366.0,20126.0,20240.0
Honduras,5237.0,5871.0,6149.0,6332.0,6842.0,7357.0,7559.0,8220.0,8900.0,9646.0,10012.0,10682.0,11540.0,12550.0,12650.0,13441.0,14176.0,15139.0,15747.0,15686.0,17213.0,18085.0,19052.0,20315.0,22175.0,24273.0,26662.0,29065.0,30889.0,30367.0,31427.0,33314.0,34844.0,36446.0,39876.0,43955.0,47719.0,52364.0,55603.0,58096.0
Hong Kong,34503.0,41193.0,45011.0,49602.0,56500.0,58725.0,66561.0,77403.0,86932.0,92369.0,99454.0,108624.0,118027.0,128328.0,138971.0,145236.0,154185.0,164823.0,156810.0,163201.0,179706.0,184832.0,190778.0,200530.0,223970.0,248256.0,273879.0,299344.0,311710.0,306354.0,345487.0,369685.0,373483.0,385448.0,396044.0,411294.0,419811.0,442388.0,465909.0,468301.0
Hungary,67712.0,76157.0,83180.0,87089.0,92576.0,95297.0,98711.0,105331.0,108947.0,114017.0,114100.0,103877.0,102990.0,104833.0,110219.0,115377.0,117489.0,123452.0,130056.0,136278.0,145236.0,154153.0,163567.0,173215.0,186886.0,201354.0,215543.0,222270.0,228646.0,215261.0,219630.0,228296.0,229638.0,242362.0,252631.0,262494.0,271845.0,289032.0,311048.0,332203.0
Iceland,2480.0,2827.0,3067.0,3120.0,3364.0,3586.0,3887.0,4327.0,4475.0,4661.0,4890.0,5041.0,4982.0,5168.0,5468.0,5589.0,5963.0,6315.0,6802.0,7183.0,7690.0,8167.0,8319.0,8692.0,9654.0,10633.0,11507.0,12918.0,13372.0,12538.0,12504.0,13005.0,13446.0,14297.0,14966.0,16162.0,17787.0,19075.0,20287.0,21050.0
India,381961.0,442709.0,486519.0,542586.0,583309.0,633604.0,677253.0,722079.0,819310.0,901792.0,986896.0,1030520.0,1111799.0,1192320.0,1298782.0,1426298.0,1561976.0,1653058.0,1774336.0,1953949.0,2077843.0,2230276.0,2353000.0,2590566.0,2870729.0,3238203.0,3646913.0,4110915.0,4354646.0,4759787.0,5160827.0,5618382.0,6153153.0,6477517.0,6781022.0,7159796.0,7735002.0,8280934.0,8998685.0,9542255.0
Indonesia,184423.0,216977.0,235616.0,255186.0,284257.0,304810.0,333309.0,364280.0,403345.0,457097.0,516674.0,581537.0,633591.0,700271.0,769099.0,849679.0,932826.0,993390.0,872355.0,892713.0,958481.0,1016043.0,1078059.0,1152118.0,1243356.0,1356414.0,1475002.0,1610330.0,1764107.0,1861078.0,2056980.0,2229512.0,2413435.0,2535041.0,2622252.0,2647707.0,2744897.0,2894126.0,3116823.0,3331872.0
Iran,197213.0,203343.0,266000.0,307155.0,295347.0,310491.0,285757.0,292546.0,284371.0,313545.0,369345.0,430169.0,454486.0,458453.0,460259.0,481140.0,521033.0,537111.0,554232.0,573984.0,621359.0,650723.0,714091.0,791252.0,848268.0,912409.0,994090.0,1113577.0,1145909.0,1181337.0,1271082.0,1337370.0,1195358.0,1157431.0,1153869.0,1039945.0,1078499.0,1133663.0,1097973.0,1044819.0
Iraq,,,,,,,,,,,,,,,,,,,79963.0,101282.0,99089.0,94690.0,88647.0,164363.0,259042.0,271855.0,296008.0,309623.0,341673.0,355901.0,378229.0,415269.0,483559.0,515106.0,490962.0,369702.0,362335.0,411920.0,421362.0,447867.0
Ireland,25417.0,28488.0,30708.0,31687.0,33863.0,35627.0,36500.0,38794.0,41356.0,45376.0,50683.0,53229.0,56392.0,59069.0,63882.0,71470.0,79391.0,89429.0,97831.0,110092.0,123758.0,134253.0,143911.0,152196.0,167012.0,182372.0,199034.0,211987.0,206635.0,198611.0,200621.0,205403.0,212590.0,221104.0,238064.0,324602.0,340381.0,377394.0,422353.0,455165.0
Israel,27612.0,31616.0,34056.0,36316.0,38436.0,41431.0,43767.0,48246.0,51715.0,54489.0,60252.0,65132.0,71383.0,75837.0,82882.0,92778.0,100173.0,106010.0,111618.0,117339.0,130625.0,133727.0,135516.0,139764.0,150857.0,162176.0,176698.0,192673.0,202357.0,206732.0,221508.0,237167.0,250708.0,275251.0,281527.0,297271.0,323076.0,338966.0,359191.0,378203.0
Italy,594543.0,655545.0,699098.0,735190.0,785840.0,833680.0,874811.0,925776.0,998372.0,1072339.0,1134826.0,1190584.0,1227138.0,1245173.0,1299039.0,1356581.0,1399108.0,1449181.0,1488580.0,1534937.0,1628105.0,1694720.0,1725014.0,1762073.0,1839170.0,1916369.0,2014889.0,2098991.0,2117685.0,2016793.0,2113751.0,2173170.0,2172384.0,2187376.0,2200256.0,2241524.0,2420428.0,2529502.0,2610907.0,2665524.0
Jamaica,6101.0,6965.0,7625.0,8255.0,8629.0,8825.0,9633.0,10640.0,10573.0,11500.0,12507.0,13031.0,13698.0,14334.0,14914.0,15609.0,15931.0,15938.0,15916.0,16318.0,16819.0,17422.0,17809.0,18830.0,19604.0,20416.0,21653.0,22551.0,22805.0,22194.0,22270.0,23059.0,23269.0,24133.0,24566.0,25416.0,26718.0,28035.0,29250.0,30040.0
Japan,1027017.0,1169815.0,1284347.0,1375908.0,1488337.0,1633243.0,1713341.0,1829241.0,2028581.0,2220638.0,2431093.0,2595519.0,2676433.0,2744791.0,2827419.0,2965536.0,3113268.0,3200661.0,3198871.0,3239642.0,3405450.0,3497211.0,3555093.0,3681394.0,3866026.0,4056757.0,4240788.0,4425653.0,4463125.0,4253411.0,4484786.0,4573186.0,4746698.0,4967051.0,4986567.0,5136018.0,5076056.0,5180326.0,5319348.0,5450654.0
Jordan,8247.0,10567.0,12011.0,12209.0,13184.0,13238.0,14248.0,14951.0,15701.0,14561.0,15057.0,15810.0,18491.0,19780.0,21207.0,22989.0,23894.0,25111.0,26148.0,27446.0,29264.0,31508.0,33843.0,35960.0,40111.0,44770.0,49881.0,55395.0,60566.0,64368.0,68696.0,72051.0,74340.0,79417.0,81884.0,87705.0,90249.0,97892.0,102181.0,106039.0
Kazakhstan,,,,,,,,,,,,,122685.0,114048.0,101823.0,95423.0,97651.0,101011.0,100167.0,104446.0,117291.0,136159.0,151798.0,169224.0,190569.0,215780.0,246209.0,275256.0,289917.0,295624.0,313789.0,344049.0,369966.0,417452.0,427478.0,407416.0,423833.0,448473.0,478069.0,508501.0
Kenya,16032.0,18248.0,20360.0,21500.0,22620.0,24294.0,26514.0,28771.0,31592.0,34315.0,37055.0,38802.0,39258.0,40153.0,42046.0,44763.0,47471.0,48482.0,50470.0,52369.0,53746.0,57158.0,58315.0,61232.0,65832.0,71799.0,78338.0,85932.0,87821.0,91414.0,97171.0,105263.0,112204.0,125972.0,141101.0,160966.0,178316.0,203207.0,221233.0,237266.0
Kiribati,58.0,62.0,70.0,72.0,78.0,76.0,76.0,71.0,80.0,81.0,82.0,85.0,88.0,91.0,95.0,97.0,100.0,104.0,112.0,112.0,121.0,122.0,129.0,134.0,135.0,147.0,149.0,156.0,156.0,158.0,159.0,165.0,176.0,187.0,189.0,211.0,224.0,230.0,241.0,251.0
South Korea,83261.0,97572.0,112191.0,132062.0,151029.0,167941.0,190557.0,219784.0,254558.0,283047.0,322314.0,367525.0,399118.0,436589.0,486930.0,544659.0,596719.0,642880.0,614301.0,694234.0,773396.0,826818.0,901907.0,946873.0,1020583.0,1094751.0,1186797.0,1284941.0,1347214.0,1367049.0,1535428.0,1625275.0,1684563.0,1726903.0,1792600.0,1933849.0,2026536.0,2105893.0,2219152.0,2304833.0
Kosovo,,,,,,,,,,,,,,,,,,,,,7615.0,8187.0,8254.0,8875.0,9359.0,10031.0,10691.0,11887.0,12664.0,13219.0,13820.0,14726.0,15320.0,16009.0,16393.0,17125.0,17886.0,18860.0,20050.0,21224.0
Kuwait,45323.0,40178.0,38616.0,42249.0,46040.0,45491.0,50383.0,55876.0,52020.0,68037.0,52048.0,31727.0,59321.0,82069.0,91037.0,94487.0,96786.0,100898.0,105720.0,105418.0,112874.0,115688.0,121005.0,144814.0,164810.0,187252.0,207521.0,225808.0,235947.0,220916.0,221239.0,247607.0,276884.0,275264.0,258671.0,181157.0,176815.0,206275.0,213859.0,218605.0
Kyrgyzstan,,,,,,,,,,,,,8070.0,7187.0,5886.0,5683.0,6197.0,6928.0,7152.0,7527.0,8117.0,8744.0,8877.0,9690.0,10656.0,10980.0,11668.0,13002.0,14260.0,14783.0,16810.0,18184.0,20288.0,23124.0,24987.0,25107.0,28459.0,31280.0,33139.0,35238.0
Laos,1871.0,2359.0,2623.0,2809.0,3096.0,3486.0,3728.0,3787.0,3837.0,4380.0,4846.0,5208.0,5699.0,6177.0,6823.0,7456.0,8116.0,8825.0,9302.0,9825.0,10694.0,11460.0,12428.0,13459.0,14824.0,16362.0,18375.0,20345.0,22367.0,24198.0,24480.0,26987.0,31202.0,34600.0,39000.0,41583.0,46850.0,50445.0,54915.0,58785.0
Latvia,,,,,,,,,,,,,15986.0,14501.0,15135.0,15129.0,15768.0,17477.0,18819.0,19608.0,21138.0,23017.0,25030.0,27681.0,30813.0,35207.0,40603.0,45831.0,45044.0,38881.0,37565.0,40761.0,43313.0,45673.0,47540.0,49104.0,51741.0,55332.0,59089.0,61465.0
Lebanon,15480.0,17018.0,11425.0,14573.0,21802.0,27967.0,26598.0,31840.0,23659.0,14208.0,12756.0,18215.0,19468.0,21326.0,23529.0,25579.0,27098.0,30370.0,31897.0,32126.0,33218.0,35300.0,37061.0,38443.0,41497.0,43988.0,46065.0,51737.0,57552.0,63962.0,74106.0,76311.0,82065.0,88558.0,94101.0,98433.0,103936.0,109026.0,109493.0,103758.0
Lesotho,673.0,759.0,851.0,911.0,984.0,1049.0,1113.0,1166.0,1300.0,1426.0,1555.0,1683.0,1829.0,1945.0,2075.0,2178.0,2327.0,2449.0,2510.0,2589.0,2778.0,2934.0,3026.0,3212.0,3380.0,3597.0,3871.0,4173.0,4472.0,4710.0,4420.0,4770.0,4893.0,5533.0,6038.0,6453.0,6366.0,5836.0,5999.0,6164.0
Liberia,,,,,,,,,,,,,,,,,,,,,2794.0,2936.0,3114.0,2256.0,2410.0,2633.0,2944.0,3418.0,3698.0,3920.0,3996.0,4394.0,4856.0,5685.0,6012.0,5753.0,6324.0,7124.0,7385.0,7328.0
Libya,94971.0,83029.0,89519.0,88671.0,84191.0,87413.0,79052.0,69150.0,76995.0,85748.0,92228.0,110216.0,109672.0,108055.0,112490.0,100600.0,105133.0,106284.0,107032.0,109172.0,115767.0,116317.0,116970.0,134831.0,144719.0,167107.0,183438.0,200284.0,209657.0,204628.0,194328.0,66148.0,148702.0,99491.0,53661.0,48497.0,51056.0,69056.0,83357.0,93236.0
Lithuania,,,,,,,,,,,,,,,,24626.0,26389.0,29067.0,31576.0,31696.0,33659.0,36672.0,39753.0,44818.0,49067.0,54559.0,60401.0,68883.0,72080.0,61868.0,63852.0,69113.0,73636.0,78911.0,82564.0,83731.0,88700.0,95659.0,101526.0,107400.0
Luxembourg,5661.0,6239.0,6695.0,7091.0,7690.0,8380.0,9402.0,10023.0,11252.0,12835.0,14018.0,15737.0,16388.0,17483.0,18537.0,19195.0,19842.0,21380.0,23015.0,25334.0,28098.0,29357.0,30887.0,31943.0,34269.0,36510.0,39554.0,44016.0,44502.0,42428.0,45558.0,47690.0,48646.0,51940.0,56354.0,59097.0,64400.0,67280.0,71039.0,73968.0
Macau,,,,,,,,,,,,,,,,,,,,,,15074.0,16674.0,18989.0,24731.0,27585.0,32217.0,37853.0,39906.0,40740.0,53373.0,66298.0,75311.0,88690.0,90949.0,70510.0,70904.0,79018.0,85319.0,82751.0
North Macedonia,,,,,,,,,,,,,11907.0,11276.0,11309.0,11418.0,11766.0,12129.0,12675.0,13429.0,14357.0,14234.0,14669.0,15294.0,16449.0,17780.0,19268.0,21061.0,22649.0,22739.0,23033.0,24064.0,24559.0,26270.0,27776.0,28760.0,31370.0,32458.0,34142.0,35985.0
Madagascar,7827.0,7719.0,8042.0,8435.0,8888.0,9278.0,9651.0,10014.0,10717.0,11588.0,12392.0,11997.0,12416.0,12978.0,13249.0,13752.0,14305.0,15087.0,15848.0,16847.0,17998.0,19509.0,17351.0,19428.0,21012.0,22719.0,24682.0,26965.0,29475.0,28296.0,32465.0,33667.0,34211.0,35257.0,36702.0,37486.0,39997.0,40515.0,43381.0,46256.0
Malawi,2415.0,2502.0,2724.0,2936.0,3203.0,3457.0,3519.0,3668.0,3917.0,4124.0,4520.0,5078.0,4813.0,5405.0,4950.0,5753.0,6442.0,6984.0,7135.0,7500.0,7731.0,7585.0,7837.0,8449.0,9152.0,9755.0,10527.0,11845.0,13000.0,14189.0,14857.0,15904.0,15920.0,17558.0,17576.0,17140.0,17827.0,18121.0,19144.0,20363.0
Malaysia,45825.0,53582.0,60287.0,66584.0,74299.0,76005.0,78431.0,84767.0,96453.0,109282.0,123531.0,139829.0,155726.0,175207.0,195419.0,219104.0,245418.0,267910.0,250888.0,270345.0,300471.0,308909.0,330561.0,356668.0,391333.0,424023.0,461459.0,503578.0,538268.0,534146.0,586732.0,630696.0,677647.0,701700.0,745387.0,750777.0,783874.0,829297.0,889716.0,944565.0
Maldives,171.0,202.0,230.0,250.0,304.0,357.0,395.0,441.0,497.0,564.0,561.0,620.0,675.0,728.0,800.0,877.0,974.0,1093.0,1213.0,1321.0,1416.0,1498.0,1614.0,2064.0,2399.0,2275.0,2812.0,3180.0,3654.0,3485.0,4649.0,5153.0,5438.0,6140.0,6957.0,7628.0,8279.0,8930.0,9774.0,10511.0
Mali,3940.0,4112.0,3863.0,4145.0,4396.0,4683.0,5069.0,5328.0,5517.0,6344.0,7192.0,8002.0,8056.0,8542.0,9055.0,9521.0,10401.0,11086.0,11534.0,12442.0,12718.0,15007.0,15711.0,17486.0,18247.0,20065.0,21645.0,22998.0,24568.0,25913.0,27042.0,28340.0,28185.0,29823.0,32435.0,35447.0,39354.0,41592.0,44796.0,47900.0
Malta,1923.0,2160.0,2296.0,2449.0,2556.0,2701.0,2860.0,3100.0,3427.0,3813.0,4139.0,4529.0,5006.0,5327.0,5691.0,6209.0,6575.0,7012.0,7329.0,7722.0,7820.0,8049.0,8410.0,8792.0,9078.0,9728.0,10214.0,10900.0,11482.0,11287.0,11759.0,12061.0,12703.0,13757.0,14924.0,16674.0,18074.0,20135.0,21687.0,23160.0
Marshall Islands,,,,,,,,,,,,,,,,,,91.0,90.0,97.0,105.0,110.0,112.0,114.0,121.0,126.0,135.0,136.0,136.0,146.0,159.0,161.0,160.0,169.0,170.0,175.0,179.0,190.0,201.0,216.0
Mauritania,,,,,,,,,,,3752.0,3877.0,4036.0,4375.0,4331.0,4856.0,5232.0,5106.0,5305.0,5802.0,5908.0,6164.0,6300.0,6810.0,7400.0,8323.0,10197.0,10764.0,11093.0,11061.0,14941.0,15889.0,16420.0,18036.0,16883.0,16995.0,19569.0,21743.0,22736.0,24499.0
Mauritius,1879.0,2176.0,2438.0,2544.0,2760.0,3044.0,3408.0,3850.0,4255.0,4618.0,5133.0,5539.0,6035.0,6492.0,6905.0,7351.0,7903.0,8496.0,9109.0,9490.0,10501.0,11086.0,11439.0,12365.0,13252.0,13877.0,14949.0,16251.0,17483.0,18152.0,19629.0,20857.0,21304.0,22487.0,23312.0,24280.0,26155.0,27082.0,28775.0,30171.0
Mexico,390421.0,463269.0,489450.0,491033.0,525802.0,554499.0,548261.0,571939.0,599556.0,648443.0,707230.0,761570.0,806515.0,844278.0,903009.0,868755.0,936580.0,1018945.0,1078431.0,1124137.0,1210609.0,1230702.0,1251244.0,1294349.0,1387073.0,1475117.0,1596486.0,1690566.0,1747866.0,1678360.0,1806054.0,1911319.0,2012768.0,2064491.0,2173228.0,2230644.0,2383390.0,2472586.0,2587707.0,2625895.0
Federated States of Micronesia,,,,,,,,,,,,,,,,219.0,216.0,206.0,214.0,221.0,237.0,247.0,253.0,262.0,261.0,274.0,282.0,284.0,284.0,289.0,296.0,312.0,312.0,306.0,304.0,321.0,328.0,343.0,352.0,362.0
Moldova,,,,,,,,,,,,,9712.0,9823.0,6932.0,6976.0,6686.0,6912.0,6530.0,6407.0,6691.0,7263.0,7951.0,8647.0,9539.0,10584.0,11431.0,12087.0,13290.0,12589.0,18302.0,19772.0,21055.0,23961.0,25218.0,26233.0,29732.0,32101.0,34187.0,36044.0
Mongolia,2930.0,3471.0,3994.0,4392.0,4817.0,5253.0,5864.0,6227.0,6777.0,7335.0,7417.0,6959.0,6459.0,6403.0,6679.0,7253.0,7550.0,7979.0,8334.0,8722.0,9022.0,9656.0,10321.0,11301.0,12706.0,13969.0,15573.0,17387.0,19115.0,18861.0,20621.0,24692.0,28890.0,30402.0,32507.0,32285.0,32833.0,35222.0,38682.0,41380.0
Montenegro,,,,,,,,,,,,,,,,,,,,,4764.0,4927.0,5097.0,5329.0,5716.0,6148.0,6882.0,7821.0,8525.0,8100.0,8518.0,8974.0,8604.0,9237.0,9558.0,10164.0,11324.0,12263.0,13196.0,13914.0
Morocco,28898.0,30723.0,35767.0,36972.0,39945.0,43830.0,48425.0,48397.0,55308.0,58819.0,63455.0,70298.0,70393.0,71534.0,80791.0,78018.0,89271.0,89383.0,96893.0,99439.0,103647.0,113769.0,119122.0,128740.0,138625.0,147795.0,163875.0,174178.0,188114.0,197586.0,207843.0,223316.0,226124.0,236670.0,229402.0,247207.0,253685.0,264289.0,278727.0,289954.0
Mozambique,2089.0,2399.0,2372.0,2078.0,2012.0,2097.0,2090.0,2459.0,2754.0,3047.0,3191.0,3513.0,3405.0,3792.0,4111.0,4291.0,5542.0,6248.0,7065.0,7734.0,8043.0,9273.0,10243.0,11126.0,12325.0,13831.0,15661.0,17271.0,18821.0,20168.0,22568.0,24745.0,25746.0,27733.0,29941.0,34918.0,37951.0,36776.0,38955.0,40556.0
Myanmar,,,,,,,,,,,,,,,,,,39673.0,42419.0,47782.0,55586.0,63303.0,72004.0,83606.0,97558.0,114361.0,133288.0,153243.0,161874.0,171493.0,152700.0,164419.0,182371.0,196136.0,209644.0,216278.0,213835.0,225517.0,245723.0,266366.0
Namibia,,,,,,,,,,,5549.0,6040.0,6751.0,6799.0,7153.0,7602.0,7988.0,8468.0,8841.0,9279.0,9822.0,10286.0,11142.0,11759.0,12884.0,13919.0,14913.0,15868.0,16608.0,16784.0,17751.0,19044.0,20502.0,21848.0,23815.0,24847.0,24643.0,24314.0,25072.0,25276.0
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,35.0,36.0,40.0,31.0,43.0,47.0,49.0,55.0,62.0,83.0,107.0,112.0,117.0,112.0,121.0,125.0
Nepal,6021.0,7132.0,7861.0,7928.0,9004.0,9863.0,10522.0,10973.0,12232.0,13257.0,14385.0,15810.0,16835.0,17898.0,19782.0,20895.0,22412.0,23994.0,24969.0,26487.0,28747.0,31057.0,31571.0,33471.0,36002.0,38453.0,40968.0,43493.0,47054.0,49560.0,51265.0,54127.0,58734.0,63247.0,69781.0,71141.0,70414.0,85625.0,93518.0,101900.0
Netherlands,164760.0,179218.0,187896.0,198746.0,212219.0,224828.0,236529.0,247054.0,267429.0,290111.0,313424.0,331758.0,345112.0,357759.0,376190.0,393883.0,415358.0,440625.0,465590.0,496578.0,529436.0,553024.0,562090.0,574931.0,602723.0,635528.0,678114.0,721885.0,748620.0,725847.0,750336.0,777881.0,792042.0,827476.0,830319.0,852113.0,890399.0,948182.0,993869.0,1028581.0
New Zealand,27586.0,31055.0,33931.0,35226.0,38978.0,40713.0,42286.0,44422.0,46232.0,48741.0,51083.0,51638.0,53266.0,57191.0,62295.0,66364.0,70134.0,73469.0,74834.0,79345.0,84461.0,88314.0,94237.0,100502.0,107801.0,114109.0,120856.0,128985.0,130972.0,132439.0,136680.0,142191.0,144444.0,157646.0,166954.0,170029.0,184586.0,196212.0,207377.0,215768.0
Nicaragua,6062.0,6983.0,7356.0,7999.0,8154.0,8071.0,8150.0,8299.0,7524.0,7685.0,7958.0,8210.0,8431.0,8597.0,9219.0,9968.0,10794.0,11414.0,11966.0,13004.0,13845.0,14580.0,14916.0,15597.0,16877.0,18166.0,19501.0,21079.0,22105.0,21659.0,23186.0,25166.0,26490.0,27950.0,30356.0,32945.0,35895.0,38335.0,37704.0,36889.0
Niger,3095.0,3378.0,3666.0,3663.0,3155.0,3508.0,3806.0,3906.0,4321.0,4532.0,4638.0,4912.0,4696.0,4878.0,5181.0,4939.0,5285.0,5402.0,6155.0,6312.0,6288.0,6949.0,7432.0,8115.0,8270.0,9254.0,10092.0,10689.0,11950.0,11955.0,17496.0,18283.0,20619.0,20861.0,21982.0,22909.0,23875.0,25138.0,27600.0,29751.0
Nigeria,,,,,,,,,,,183718.0,188785.0,197324.0,205188.0,210093.0,218490.0,231492.0,242251.0,250991.0,256162.0,276448.0,301599.0,350952.0,391964.0,444798.0,491284.0,540439.0,595422.0,650809.0,710529.0,755321.0,808786.0,836150.0,897506.0,971492.0,982912.0,973442.0,990700.0,1033993.0,1075694.0
Norway,61278.0,68071.0,72464.0,78317.0,86005.0,93686.0,99438.0,103764.0,107122.0,112443.0,118855.0,126600.0,134115.0,141212.0,151508.0,161093.0,172280.0,184490.0,191387.0,198228.0,209236.0,218468.0,225011.0,231608.0,247399.0,262061.0,276583.0,292261.0,299140.0,296521.0,298253.0,307472.0,327988.0,340138.0,338506.0,313315.0,308491.0,332135.0,344496.0,354695.0
Oman,11808.0,15117.0,17902.0,21576.0,25448.0,30077.0,31341.0,30858.0,33614.0,35962.0,40417.0,44286.0,49142.0,53403.0,56636.0,60611.0,63500.0,68577.0,71196.0,72525.0,79033.0,84458.0,84811.0,84196.0,87628.0,92699.0,100681.0,107962.0,119107.0,127347.0,135120.0,141481.0,155907.0,158880.0,156303.0,133780.0,129565.0,135696.0,140232.0,141558.0
Pakistan,71808.0,83387.0,95257.0,105739.0,113842.0,127716.0,138581.0,150376.0,165657.0,180374.0,195628.0,212503.0,233799.0,244381.0,260486.0,279379.0,303251.0,313695.0,328178.0,347135.0,368908.0,384738.0,402801.0,430247.0,475158.0,534381.0,582849.0,631487.0,675991.0,683582.0,692117.0,732180.0,752629.0,784863.0,827826.0,872097.0,898016.0,950382.0,1027059.0,1065373.0
Palau,,,,,,,,,,,,,,,,,,,,,175.0,185.0,200.0,191.0,211.0,220.0,220.0,226.0,217.0,198.0,201.0,215.0,223.0,223.0,241.0,255.0,257.0,256.0,278.0,278.0
Panama,7021.0,8383.0,9379.0,9312.0,9903.0,10725.0,11332.0,11411.0,10230.0,10794.0,12100.0,13680.0,15140.0,16345.0,17169.0,17834.0,19498.0,21117.0,22911.0,24165.0,25390.0,26116.0,27112.0,28820.0,31836.0,35220.0,39402.0,45349.0,50220.0,51410.0,55200.0,62728.0,70434.0,79815.0,89330.0,100479.0,112346.0,125071.0,132802.0,139237.0
Papua New Guinea,3095.0,3423.0,3666.0,3942.0,4041.0,4320.0,4656.0,4907.0,5226.0,5352.0,5384.0,6094.0,7095.0,8586.0,9291.0,9158.0,9940.0,9469.0,10020.0,10362.0,10337.0,10568.0,10946.0,11654.0,12043.0,12918.0,13621.0,15203.0,16053.0,16649.0,19324.0,19946.0,21275.0,22477.0,25993.0,28729.0,30214.0,31871.0,32359.0,34562.0
Paraguay,10639.0,12714.0,13311.0,13411.0,14287.0,15309.0,15658.0,16699.0,18305.0,20129.0,21742.0,23262.0,24196.0,25992.0,27959.0,30493.0,31540.0,33445.0,33844.0,33864.0,33820.0,34273.0,34808.0,36986.0,39523.0,41623.0,44945.0,48654.0,52755.0,53020.0,62437.0,66449.0,64357.0,72178.0,75404.0,76730.0,81538.0,86486.0,91535.0,93141.0
Peru,53800.0,62035.0,65671.0,61895.0,66527.0,70090.0,80160.0,88567.0,83031.0,74682.0,73502.0,77634.0,78974.0,85095.0,97601.0,107021.0,112024.0,121323.0,122159.0,125881.0,132216.0,136063.0,145687.0,154782.0,166925.0,183123.0,202960.0,226109.0,251624.0,256195.0,280852.0,305218.0,318086.0,337915.0,348937.0,355504.0,376398.0,399159.0,424966.0,441962.0
Philippines,90284.0,102094.0,112353.0,118977.0,114177.0,109221.0,115230.0,123266.0,136196.0,150272.0,160563.0,164948.0,169278.0,176972.0,188669.0,201615.0,217296.0,232477.0,233645.0,244531.0,261127.0,274808.0,289199.0,309627.0,339449.0,367110.0,398229.0,435876.0,462883.0,471754.0,528683.0,560551.0,612131.0,654004.0,699662.0,733864.0,798601.0,854095.0,930065.0,1003853.0
Poland,169037.0,166339.0,168098.0,184518.0,190367.0,204046.0,215434.0,226017.0,241614.0,260578.0,250840.0,241031.0,251538.0,268563.0,288648.0,314492.0,340212.0,370558.0,393240.0,417321.0,444998.0,460625.0,474448.0,501147.0,541373.0,578611.0,633322.0,696998.0,738532.0,763742.0,811269.0,869770.0,907167.0,940326.0,973567.0,1020174.0,1073935.0,1145045.0,1235257.0,1309450.0
Portugal,58724.0,66469.0,72120.0,75695.0,77565.0,81357.0,85753.0,94653.0,103198.0,114339.0,127887.0,136597.0,144084.0,146498.0,151844.0,158587.0,167128.0,177514.0,188038.0,198339.0,210535.0,219518.0,224601.0,226940.0,237405.0,246922.0,258462.0,271951.0,277839.0,271611.0,281615.0,282621.0,277992.0,292135.0,298952.0,307312.0,326331.0,340797.0,358182.0,372471.0
Puerto Rico,23792.0,26291.0,27071.0,28272.0,31417.0,33091.0,36514.0,39287.0,43309.0,47216.0,50813.0,53714.0,57446.0,61545.0,65486.0,69892.0,72814.0,77675.0,83636.0,88663.0,93648.0,104850.0,108771.0,113537.0,118977.0,120364.0,122314.0,124109.0,124210.0,122710.0,115090.0,117073.0,118421.0,119192.0,119065.0,118146.0,117009.0,115158.0,112138.0,116423.0
