Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Bosnia and Herzegovina,,,,,,,11258.0,14068.0,16185.0,18199.0
Botswana,7519.0,8253.0,8424.0,8972.0,9091.0,9933.0,10703.0,11761.0,11974.0,13333.0
Brazil,1000682.0,1044655.0,1063481.0,1139574.0,1225912.0,1306756.0,1360000.0,1430244.0,1450653.0,1479746.0
Brunei,14171.0,15104.0,16183.0,16618.0,17506.0,18672.0,19560.0,19602.0,19703.0,20615.0
Bulgaria,73013.0,67329.0,63061.0,57056.0,56135.0,56388.0,52799.0,52819.0,55988.0,56564.0
Burkina Faso,4808.0,5419.0,5556.0,5885.0,6089.0,6571.0,7428.0,8033.0,8713.0,9495.0
Burundi,3230.0,3530.0,3647.0,3501.0,3438.0,3232.0,3028.0,3092.0,3274.0,3363.0
Cape Verde,579.0,606.0,639.0,702.0,767.0,841.0,914.0,1001.0,1097.0,1246.0
Cambodia,5503.0,6117.0,6699.0,7136.0,7884.0,8567.0,9195.0,9878.0,10486.0,11914.0
Cameroon,21643.0,21521.0,21340.0,21158.0,21069.0,22219.0,23736.0,25426.0,26960.0,28484.0
Canada,560993.0,567344.0,585401.0,615241.0,656571.0,688211.0,712061.0,755250.0,793080.0,846792.0
Central African Republic,1829.0,1903.0,1914.0,1961.0,2210.0,2352.0,2209.0,2419.0,2537.0,2672.0
Chad,4412.0,5033.0,5271.0,5284.0,5693.0,5767.0,5996.0,6444.0,6966.0,7025.0
Chile,76962.0,85659.0,97365.0,106381.0,114145.0,126831.0,137906.0,150631.0,160558.0,160659.0
China,1119872.0,1263604.0,1477226.0,1722587.0,1989713.0,2254642.0,2523075.0,2802371.0,3053736.0,3336107.0
Colombia,165936.0,175526.0,187343.0,202751.0,217725.0,233829.0,242992.0,255630.0,259876.0,252761.0
Comoros,482.0,471.0,523.0,551.0,533.0,564.0,567.0,601.0,614.0,636.0
Democratic Republic of the Congo,31581.0,29876.0,27360.0,24238.0,23233.0,24373.0,24338.0,22814.0,22168.0,21651.0
Republic of the Congo,8293.0,8775.0,9209.0,9336.0,9011.0,9565.0,10158.0,10267.0,10766.0,10649.0
Costa Rica,15615.0,16500.0,18428.0,20203.0,21559.0,22916.0,23623.0,25364.0,27425.0,28942.0
Ivory Coast,25516.0,26376.0,26910.0,27500.0,28134.0,30321.0,33386.0,35901.0,38080.0,39288.0
Croatia,,,38250.0,36027.0,38965.0,42416.0,45728.0,49601.0,51073.0,51370.0
Cyprus,8951.0,9318.0,10423.0,10745.0,11621.0,13041.0,13456.0,14037.0,14933.0,15893.0
Czech Republic,,,,,,143363.0,152232.0,153794.0,154972.0,159606.0
Denmark,109102.0,114307.0,119201.0,122046.0,131290.0,137969.0,144569.0,151837.0,156882.0,163979.0
Djibouti,,1168.0,1202.0,1147.0,1156.0,1139.0,1116.0,1122.0,1135.0,1186.0
Dominica,303.0,317.0,331.0,346.0,354.0,372.0,391.0,406.0,426.0,434.0
Dominican Republic,25678.0,26783.0,28917.0,31745.0,33169.0,35723.0,38971.0,42818.0,46308.0,50168.0
Ecuador,48240.0,52394.0,55526.0,57984.0,61739.0,64447.0,66759.0,70841.0,73949.0,71522.0
Egypt,227338.0,239837.0,246041.0,259199.0,275801.0,294177.0,314161.0,338454.0,367932.0,396387.0
El Salvador,15385.0,16466.0,18112.0,19909.0,21563.0,23421.0,24255.0,25718.0,26971.0,28329.0
Equatorial Guinea,206.0,210.0,285.0,323.0,385.0,461.0,772.0,1945.0,2433.0,3105.0
Eritrea,,,2401.0,2775.0,3199.0,3949.0,4115.0,4568.0,4982.0,5158.0
Estonia,,,,11090.0,11140.0,11618.0,12460.0,14168.0,14912.0,15010.0
Ethiopia,19483.0,18678.0,17402.0,20197.0,21346.0,23125.0,26734.0,27964.0,27084.0,29229.0
Fiji,2829.0,2845.0,3087.0,3242.0,3480.0,3645.0,3890.0,3862.0,3954.0,4364.0
Finland,92237.0,89669.0,88664.0,90106.0,95650.0,101752.0,107399.0,116069.0,123696.0,131171.0
France,1112405.0,1161375.0,1206853.0,1227994.0,1283545.0,1337635.0,1380953.0,1437427.0,1504697.0,1579776.0
Gabon,12000.0,13158.0,13043.0,13880.0,14702.0,15755.0,16624.0,17879.0,18702.0,17290.0
Gambia,918.0,969.0,1009.0,1072.0,1058.0,1116.0,1169.0,1206.0,1298.0,1402.0
Georgia,,,,,7542.0,7899.0,8888.0,9995.0,10394.0,10866.0
Germany,1636133.0,1775313.0,1843284.0,1868540.0,1956704.0,2033711.0,2088567.0,2164730.0,2227072.0,2302946.0
Ghana,18119.0,19714.0,20950.0,22246.0,23541.0,25049.0,26692.0,28464.0,30124.0,31939.0
Greece,140264.0,149427.0,153900.0,155041.0,161508.0,168338.0,176318.0,187378.0,196788.0,205938.0
Grenada,449.0,470.0,477.0,479.0,498.0,520.0,552.0,589.0,666.0,723.0
Guatemala,31897.0,33948.0,36319.0,38447.0,40640.0,43313.0,45338.0,48005.0,50758.0,53442.0
Guinea,5514.0,5839.0,6168.0,6633.0,7046.0,7529.0,8009.0,8568.0,8976.0,9461.0
Guinea-Bissau,881.0,977.0,1030.0,1079.0,1134.0,1204.0,1272.0,1372.0,1152.0,1324.0
Guyana,1379.0,1511.0,1665.0,1844.0,2043.0,2191.0,2409.0,2602.0,2585.0,2703.0
Haiti,9285.0,9715.0,9713.0,9454.0,8535.0,9575.0,10154.0,10607.0,10956.0,11425.0
Honduras,10012.0,10682.0,11540.0,12550.0,12650.0,13441.0,14176.0,15139.0,15747.0,15686.0
Hong Kong,99454.0,108624.0,118027.0,128328.0,138971.0,145236.0,154185.0,164823.0,156810.0,163201.0
Hungary,114100.0,103877.0,102990.0,104833.0,110219.0,115377.0,117489.0,123452.0,130056.0,136278.0
Iceland,4890.0,5041.0,4982.0,5168.0,5468.0,5589.0,5963.0,6315.0,6802.0,7183.0
India,986896.0,1030520.0,1111799.0,1192320.0,1298782.0,1426298.0,1561976.0,1653058.0,1774336.0,1953949.0
Indonesia,516674.0,581537.0,633591.0,700271.0,769099.0,849679.0,932826.0,993390.0,872355.0,892713.0
Iran,369345.0,430169.0,454486.0,458453.0,460259.0,481140.0,521033.0,537111.0,554232.0,573984.0
Iraq,,,,,,,,,79963.0,101282.0
Ireland,50683.0,53229.0,56392.0,59069.0,63882.0,71470.0,79391.0,89429.0,97831.0,110092.0
Israel,60252.0,65132.0,71383.0,75837.0,82882.0,92778.0,100173.0,106010.0,111618.0,117339.0
Italy,1134826.0,1190584.0,1227138.0,1245173.0,1299039.0,1356581.0,1399108.0,1449181.0,1488580.0,1534937.0
Jamaica,12507.0,13031.0,13698.0,14334.0,14914.0,15609.0,15931.0,15938.0,15916.0,16318.0
Japan,2431093.0,2595519.0,2676433.0,2744791.0,2827419.0,2965536.0,3113268.0,3200661.0,3198871.0,3239642.0
Jordan,15057.0,15810.0,18491.0,19780.0,21207.0,22989.0,23894.0,25111.0,26148.0,27446.0
Kazakhstan,,,122685.0,114048.0,101823.0,95423.0,97651.0,101011.0,100167.0,104446.0
Kenya,37055.0,38802.0,39258.0,40153.0,42046.0,44763.0,47471.0,48482.0,50470.0,52369.0
Kiribati,82.0,85.0,88.0,91.0,95.0,97.0,100.0,104.0,112.0,112.0
South Korea,322314.0,367525.0,399118.0,436589.0,486930.0,544659.0,596719.0,642880.0,614301.0,694234.0
Kosovo,,,,,,,,,,
Kuwait,52048.0,31727.0,59321.0,82069.0,91037.0,94487.0,96786.0,100898.0,105720.0,105418.0
Kyrgyzstan,,,8070.0,7187.0,5886.0,5683.0,6197.0,6928.0,7152.0,7527.0
Laos,4846.0,5208.0,5699.0,6177.0,6823.0,7456.0,8116.0,8825.0,9302.0,9825.0
Latvia,,,15986.0,14501.0,15135.0,15129.0,15768.0,17477.0,18819.0,19608.0
Lebanon,12756.0,18215.0,19468.0,21326.0,23529.0,25579.0,27098.0,30370.0,31897.0,32126.0
Lesotho,1555.0,1683.0,1829.0,1945.0,2075.0,2178.0,2327.0,2449.0,2510.0,2589.0
Liberia,,,,,,,,,,
Libya,92228.0,110216.0,109672.0,108055.0,112490.0,100600.0,105133.0,106284.0,107032.0,109172.0
Lithuania,,,,,,24626.0,26389.0,29067.0,31576.0,31696.0
Luxembourg,14018.0,15737.0,16388.0,17483.0,18537.0,19195.0,19842.0,21380.0,23015.0,25334.0
Macau,,,,,,,,,,
North Macedonia,,,11907.0,11276.0,11309.0,11418.0,11766.0,12129.0,12675.0,13429.0
Madagascar,12392.0,11997.0,12416.0,12978.0,13249.0,13752.0,14305.0,15087.0,15848.0,16847.0
Malawi,4520.0,5078.0,4813.0,5405.0,4950.0,5753.0,6442.0,6984.0,7135.0,7500.0
Malaysia,123531.0,139829.0,155726.0,175207.0,195419.0,219104.0,245418.0,267910.0,250888.0,270345.0
Maldives,561.0,620.0,675.0,728.0,800.0,877.0,974.0,1093.0,1213.0,1321.0
Mali,7192.0,8002.0,8056.0,8542.0,9055.0,9521.0,10401.0,11086.0,11534.0,12442.0
Malta,4139.0,4529.0,5006.0,5327.0,5691.0,6209.0,6575.0,7012.0,7329.0,7722.0
Marshall Islands,,,,,,,,91.0,90.0,97.0
Mauritania,3752.0,3877.0,4036.0,4375.0,4331.0,4856.0,5232.0,5106.0,5305.0,5802.0
Mauritius,5133.0,5539.0,6035.0,6492.0,6905.0,7351.0,7903.0,8496.0,9109.0,9490.0
Mexico,707230.0,761570.0,806515.0,844278.0,903009.0,868755.0,936580.0,1018945.0,1078431.0,1124137.0
Federated States of Micronesia,,,,,,219.0,216.0,206.0,214.0,221.0
Moldova,,,9712.0,9823.0,6932.0,6976.0,6686.0,6912.0,6530.0,6407.0
Mongolia,7417.0,6959.0,6459.0,6403.0,6679.0,7253.0,7550.0,7979.0,8334.0,8722.0
Montenegro,,,,,,,,,,
Morocco,63455.0,70298.0,70393.0,71534.0,80791.0,78018.0,89271.0,89383.0,96893.0,99439.0
Mozambique,3191.0,3513.0,3405.0,3792.0,4111.0,4291.0,5542.0,6248.0,7065.0,7734.0
Myanmar,,,,,,,,39673.0,42419.0,47782.0
Namibia,5549.0,6040.0,6751.0,6799.0,7153.0,7602.0,7988.0,8468.0,8841.0,9279.0
Nauru,,,,,,,,,,
Nepal,14385.0,15810.0,16835.0,17898.0,19782.0,20895.0,22412.0,23994.0,24969.0,26487.0
Netherlands,313424.0,331758.0,345112.0,357759.0,376190.0,393883.0,415358.0,440625.0,465590.0,496578.0
New Zealand,51083.0,51638.0,53266.0,57191.0,62295.0,66364.0,70134.0,73469.0,74834.0,79345.0
Nicaragua,7958.0,8210.0,8431.0,8597.0,9219.0,9968.0,10794.0,11414.0,11966.0,13004.0
Niger,4638.0,4912.0,4696.0,4878.0,5181.0,4939.0,5285.0,5402.0,6155.0,6312.0
Nigeria,183718.0,188785.0,197324.0,205188.0,210093.0,218490.0,231492.0,242251.0,250991.0,256162.0
Norway,118855.0,126600.0,134115.0,141212.0,151508.0,161093.0,172280.0,184490.0,191387.0,198228.0
Oman,40417.0,44286.0,49142.0,53403.0,56636.0,60611.0,63500.0,68577.0,71196.0,72525.0
Pakistan,195628.0,212503.0,233799.0,244381.0,260486.0,279379.0,303251.0,313695.0,328178.0,347135.0
Palau,,,,,,,,,,
Panama,12100.0,13680.0,15140.0,16345.0,17169.0,17834.0,19498.0,21117.0,22911.0,24165.0
Papua New Guinea,5384.0,6094.0,7095.0,8586.0,9291.0,9158.0,9940.0,9469.0,10020.0,10362.0
Paraguay,21742.0,23262.0,24196.0,25992.0,27959.0,30493.0,31540.0,33445.0,33844.0,33864.0
Peru,73502.0,77634.0,78974.0,85095.0,97601.0,107021.0,112024.0,121323.0,122159.0,125881.0
Philippines,160563.0,164948.0,169278.0,176972.0,188669.0,201615.0,217296.0,232477.0,233645.0,244531.0
Poland,250840.0,241031.0,251538.0,268563.0,288648.0,314492.0,340212.0,370558.0,393240.0,417321.0
Portugal,127887.0,136597.0,144084.0,146498.0,151844.0,158587.0,167128.0,177514.0,188038.0,198339.0
Puerto Rico,50813.0,53714.0,57446.0,61545.0,65486.0,69892.0,72814.0,77675.0,83636.0,88663.0
Qatar,22007.0,22362.0,25463.0,25724.0,26644.0,27852.0,29601.0,39144.0,44007.0,46595.0
Romania,172543.0,155239.0,144859.0,150571.0,159822.0,174801.0,185019.0,176796.0,170105.0,170722.0
Russia,,,1703037.0,1591862.0,1419274.0,1389470.0,1363780.0,1406294.0,1345568.0,1452933.0
Rwanda,3960.0,3916.0,4270.0,3918.0,2325.0,2956.0,3359.0,3926.0,4299.0,4509.0
Samoa,331.0,334.0,356.0,370.0,402.0,438.0,478.0,490.0,501.0,505.0
San Marino,,,,,,,,1308.0,1422.0,1573.0
São Tomé and Príncipe,159.0,166.0,171.0,177.0,185.0,192.0,199.0,204.0,212.0,220.0
Saudi Arabia,448031.0,532422.0,566274.0,571840.0,587274.0,600793.0,627893.0,645692.0,671584.0,656201.0
Senegal,8994.0,9531.0,9869.0,10236.0,10452.0,11242.0,11677.0,12248.0,13112.0,14157.0
Serbia,,,,,,,,,,
Seychelles,608.0,646.0,708.0,778.0,775.0,795.0,891.0,1016.0,1053.0,1089.0
Sierra Leone,4699.0,4467.0,4129.0,4229.0,4470.0,4106.0,3145.0,2636.0,2642.0,2465.0
Singapore,67631.0,74555.0,81659.0,93247.0,105636.0,115419.0,126377.0,139198.0,137578.0,148197.0
Slovakia,,,,43568.0,47257.0,52040.0,56668.0,60200.0,63295.0,64132.0
Slovenia,,,22161.0,23324.0,25082.0,26655.0,28120.0,30064.0,31388.0,33550.0
Solomon Islands,301.0,330.0,380.0,405.0,447.0,503.0,520.0,524.0,537.0,542.0
South Africa,235395.0,240754.0,240980.0,249756.0,263321.0,277188.0,294403.0,307369.0,312312.0,324569.0
South Sudan,,,,,,,,,,
Spain,598223.0,633746.0,653707.0,660467.0,690271.0,733714.0,765195.0,808381.0,853669.0,907863.0
Sri Lanka,37743.0,43220.0,42819.0,47115.0,51985.0,56280.0,64277.0,72106.0,71688.0,74881.0
Saint Kitts and Nevis,384.0,405.0,427.0,461.0,496.0,524.0,565.0,617.0,630.0,665.0
Saint Lucia,812.0,842.0,931.0,956.0,992.0,1030.0,1079.0,1088.0,1170.0,1220.0
Saint Vincent and the Grenadines,393.0,415.0,455.0,483.0,487.0,531.0,546.0,577.0,609.0,631.0
Sudan,33583.0,38139.0,37464.0,40723.0,42433.0,44623.0,48310.0,54207.0,57256.0,60903.0
Suriname,2713.0,2417.0,2568.0,2571.0,2442.0,2775.0,3142.0,3419.0,3533.0,3554.0
Eswatini,2953.0,3119.0,3285.0,3446.0,3619.0,3844.0,4058.0,4253.0,4407.0,4605.0
Sweden,170878.0,174753.0,176994.0,177656.0,188853.0,200550.0,207310.0,216976.0,228601.0,242614.0
Switzerland,201104.0,205854.0,210267.0,214880.0,222380.0,228368.0,233887.0,243355.0,253059.0,261078.0
Syria,36318.0,41552.0,48129.0,52924.0,57042.0,61389.0,64364.0,64752.0,69090.0,67958.0
Taiwan,204997.0,229527.0,254229.0,277981.0,305173.0,331792.0,358710.0,387156.0,407837.0,441892.0
Tajikistan,,,7260.0,6608.0,5304.0,4738.0,4614.0,4773.0,5080.0,5349.0
Tanzania,24258.0,25584.0,26321.0,27272.0,28289.0,29910.0,31840.0,33526.0,35147.0,37412.0
Thailand,240067.0,268902.0,300417.0,334246.0,368658.0,406907.0,437753.0,432987.0,404274.0,429229.0
Timor-Leste,,,,,,,,,,
Togo,3771.0,3873.0,3835.0,3285.0,3822.0,4670.0,4572.0,4827.0,4769.0,4964.0
Tonga,237.0,260.0,256.0,261.0,272.0,290.0,296.0,291.0,305.0,317.0
Trinidad and Tobago,9594.0,10062.0,10568.0,10641.0,10710.0,11778.0,12848.0,14051.0,15358.0,16844.0
Tunisia,29032.0,31240.0,34511.0,36208.0,38320.0,40164.0,43700.0,46993.0,49861.0,53670.0
Turkey,387537.0,404144.0,438094.0,484588.0,467900.0,512002.0,557877.0,610144.0,635837.0,623688.0
Turkmenistan,,,11826.0,10897.0,9204.0,8719.0,8283.0,7473.0,8060.0,9534.0
Tuvalu,,,,,,,,,,
Uganda,10077.0,10598.0,11473.0,12532.0,13783.0,15361.0,16673.0,17742.0,19024.0,20851.0
Ukraine,,,318309.0,277653.0,219007.0,196427.0,180309.0,177572.0,176240.0,178575.0
United Arab Emirates,130444.0,137672.0,145168.0,148579.0,162914.0,177255.0,190128.0,209924.0,213880.0,225299.0
United Kingdom,1001703.0,1023462.0,1050562.0,1102518.0,1169730.0,1224054.0,1278161.0,1340700.0,1398491.0,1466514.0
United States,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0
Uruguay,20328.0,21748.0,24008.0,25232.0,27645.0,27813.0,29901.0,31948.0,33677.0,33178.0
Uzbekistan,,,37778.0,37770.0,36568.0,36994.0,38310.0,40992.0,43222.0,45771.0
Vanuatu,216.0,230.0,242.0,249.0,278.0,286.0,298.0,318.0,326.0,332.0
Venezuela,185510.0,210335.0,228168.0,234239.0,233605.0,247900.0,251925.0,272563.0,276331.0,263809.0
Vietnam,62831.0,68693.0,76372.0,84505.0,93927.0,105034.0,116940.0,128638.0,137531.0,146301.0
Yemen,25928.0,28477.0,31516.0,33557.0,36575.0,39455.0,42037.0,44994.0,48214.0,50800.0
Zambia,13264.0,13615.0,14211.0,14537.0,12871.0,13520.0,14623.0,15441.0,15548.0,16520.0
Zimbabwe,,,,,,,,,25411.0,25537.0
