Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Afghanistan,,,,,,,,,,
Albania,9411.0,7002.0,6646.0,7457.0,8332.0,9262.0,10290.0,9322.0,10256.0,11755.0
Algeria,171693.0,175279.0,182143.0,182555.0,184763.0,195874.0,207028.0,212889.0,226168.0,236978.0
Angola,26989.0,28164.0,27125.0,21110.0,21848.0,25649.0,29654.0,32356.0,34242.0,35524.0
Antigua and Barbuda,715.0,758.0,783.0,846.0,919.0,891.0,962.0,1038.0,1103.0,1170.0
Argentina,236001.0,269456.0,303984.0,330670.0,357417.0,354490.0,380909.0,418855.0,439702.0,431317.0
Armenia,,,4886.0,4299.0,4628.0,5104.0,5466.0,5748.0,6174.0,6468.0
Australia,321669.0,328912.0,345355.0,367558.0,393827.0,413784.0,439492.0,466276.0,493321.0,522314.0
Austria,155405.0,166105.0,173448.0,178510.0,186689.0,195667.0,204016.0,212085.0,222018.0,233508.0
Azerbaijan,,,33999.0,26768.0,21960.0,19497.0,20355.0,22543.0,24157.0,27321.0
Bahamas,4994.0,4944.0,4863.0,4994.0,5261.0,5606.0,5950.0,6351.0,6722.0,7313.0
Bahrain,12387.0,13092.0,14344.0,15802.0,16657.0,17331.0,18221.0,18968.0,20104.0,21631.0
Bangladesh,91091.0,98080.0,105132.0,112287.0,119852.0,128188.0,137071.0,146813.0,155892.0,166858.0
Barbados,2238.0,2222.0,2143.0,2212.0,2304.0,2400.0,2541.0,2707.0,2838.0,2891.0
Belarus,,,52414.0,49582.0,44713.0,40586.0,42474.0,48140.0,52771.0,55375.0
Belgium,196123.0,206365.0,214301.0,217289.0,229074.0,239429.0,247683.0,261271.0,269323.0,283189.0
Belize,620.0,714.0,819.0,891.0,911.0,936.0,967.0,1018.0,1068.0,1179.0
Benin,4751.0,5117.0,5388.0,5838.0,6083.0,6586.0,6996.0,7523.0,7906.0,8456.0
Bhutan,755.0,818.0,854.0,902.0,942.0,1019.0,1100.0,1181.0,1265.0,1376.0
Bolivia,16428.0,17869.0,18577.0,19831.0,21199.0,22653.0,24073.0,25698.0,27283.0,27819.0
