Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Finland,141715.0,148686.0,153506.0,159689.0,170522.0,180902.0,194021.0,209512.0,215161.0,198869.0
France,1678332.0,1750132.0,1796875.0,1847723.0,1951435.0,2046601.0,2159587.0,2269408.0,2318445.0,2267340.0
Gabon,17350.0,18127.0,18440.0,19127.0,19873.0,20351.0,20576.0,22462.0,23299.0,22941.0
Gambia,1514.0,1637.0,1608.0,1753.0,1928.0,1972.0,2055.0,2186.0,2357.0,2528.0
Georgia,11386.0,12194.0,13072.0,14822.0,16112.0,18225.0,20555.0,23757.0,24808.0,24084.0
Germany,2430427.0,2531381.0,2570864.0,2603335.0,2693592.0,2804578.0,3002740.0,3186681.0,3275699.0,3116816.0
Ghana,33887.0,36108.0,38330.0,41146.0,44636.0,48775.0,53416.0,57222.0,63682.0,67274.0
Greece,218879.0,233117.0,245980.0,265423.0,286524.0,297513.0,323988.0,343498.0,349062.0,336587.0
Grenada,777.0,779.0,818.0,913.0,933.0,1090.0,1079.0,1175.0,1210.0,1138.0
Guatemala,56024.0,58676.0,61881.0,64712.0,68587.0,73102.0,79402.0,86653.0,91252.0,92429.0
Guinea,9919.0,10516.0,11229.0,11596.0,12193.0,12963.0,13695.0,14975.0,15901.0,15775.0
Guinea-Bissau,1352.0,1411.0,1414.0,1448.0,1529.0,1645.0,1735.0,1839.0,1936.0,2016.0
Guyana,2727.0,2852.0,2930.0,2969.0,3098.0,3135.0,3398.0,3733.0,3881.0,4040.0
Haiti,11787.0,11929.0,12082.0,12368.0,12260.0,12883.0,13578.0,14405.0,14812.0,15384.0
Honduras,17213.0,18085.0,19052.0,20315.0,22175.0,24273.0,26662.0,29065.0,30889.0,30367.0
Hong Kong,179706.0,184832.0,190778.0,200530.0,223970.0,248256.0,273879.0,299344.0,311710.0,306354.0
Hungary,145236.0,154153.0,163567.0,173215.0,186886.0,201354.0,215543.0,222270.0,228646.0,215261.0
Iceland,7690.0,8167.0,8319.0,8692.0,9654.0,10633.0,11507.0,12918.0,13372.0,12538.0
India,2077843.0,2230276.0,2353000.0,2590566.0,2870729.0,3238203.0,3646913.0,4110915.0,4354646.0,4759787.0
Indonesia,958481.0,1016043.0,1078059.0,1152118.0,1243356.0,1356414.0,1475002.0,1610330.0,1764107.0,1861078.0
Iran,621359.0,650723.0,714091.0,791252.0,848268.0,912409.0,994090.0,1113577.0,1145909.0,1181337.0
Iraq,99089.0,94690.0,88647.0,164363.0,259042.0,271855.0,296008.0,309623.0,341673.0,355901.0
Ireland,123758.0,134253.0,143911.0,152196.0,167012.0,182372.0,199034.0,211987.0,206635.0,198611.0
Israel,130625.0,133727.0,135516.0,139764.0,150857.0,162176.0,176698.0,192673.0,202357.0,206732.0
Italy,1628105.0,1694720.0,1725014.0,1762073.0,1839170.0,1916369.0,2014889.0,2098991.0,2117685.0,2016793.0
Jamaica,16819.0,17422.0,17809.0,18830.0,19604.0,20416.0,21653.0,22551.0,22805.0,22194.0
Japan,3405450.0,3497211.0,3555093.0,3681394.0,3866026.0,4056757.0,4240788.0,4425653.0,4463125.0,4253411.0
Jordan,29264.0,31508.0,33843.0,35960.0,40111.0,44770.0,49881.0,55395.0,60566.0,64368.0
Kazakhstan,117291.0,136159.0,151798.0,169224.0,190569.0,215780.0,246209.0,275256.0,289917.0,295624.0
Kenya,53746.0,57158.0,58315.0,61232.0,65832.0,71799.0,78338.0,85932.0,87821.0,91414.0
Kiribati,121.0,122.0,129.0,134.0,135.0,147.0,149.0,156.0,156.0,158.0
South Korea,773396.0,826818.0,901907.0,946873.0,1020583.0,1094751.0,1186797.0,1284941.0,1347214.0,1367049.0
Kosovo,7615.0,8187.0,8254.0,8875.0,9359.0,10031.0,10691.0,11887.0,12664.0,13219.0
Kuwait,112874.0,115688.0,121005.0,144814.0,164810.0,187252.0,207521.0,225808.0,235947.0,220916.0
Kyrgyzstan,8117.0,8744.0,8877.0,9690.0,10656.0,10980.0,11668.0,13002.0,14260.0,14783.0
Laos,10694.0,11460.0,12428.0,13459.0,14824.0,16362.0,18375.0,20345.0,22367.0,24198.0
Latvia,21138.0,23017.0,25030.0,27681.0,30813.0,35207.0,40603.0,45831.0,45044.0,38881.0
Lebanon,33218.0,35300.0,37061.0,38443.0,41497.0,43988.0,46065.0,51737.0,57552.0,63962.0
Lesotho,2778.0,2934.0,3026.0,3212.0,3380.0,3597.0,3871.0,4173.0,4472.0,4710.0
Liberia,2794.0,2936.0,3114.0,2256.0,2410.0,2633.0,2944.0,3418.0,3698.0,3920.0
Libya,115767.0,116317.0,116970.0,134831.0,144719.0,167107.0,183438.0,200284.0,209657.0,204628.0
Lithuania,33659.0,36672.0,39753.0,44818.0,49067.0,54559.0,60401.0,68883.0,72080.0,61868.0
Luxembourg,28098.0,29357.0,30887.0,31943.0,34269.0,36510.0,39554.0,44016.0,44502.0,42428.0
Macau,,15074.0,16674.0,18989.0,24731.0,27585.0,32217.0,37853.0,39906.0,40740.0
North Macedonia,14357.0,14234.0,14669.0,15294.0,16449.0,17780.0,19268.0,21061.0,22649.0,22739.0
Madagascar,17998.0,19509.0,17351.0,19428.0,21012.0,22719.0,24682.0,26965.0,29475.0,28296.0
