Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,46304.0,50334.0,59945.0,63784.0,69444.0,72056.0,70098.0,74712.0,77416.0,81880.0
Albania,28328.0,29655.0,30530.0,30604.0,32529.0,33595.0,34736.0,37609.0,40080.0,41709.0
Algeria,471508.0,494947.0,497330.0,497988.0,506135.0,477358.0,471382.0,478071.0,496403.0,509307.0
Angola,153871.0,162539.0,186124.0,199866.0,220365.0,204604.0,204875.0,217987.0,220542.0,222459.0
Antigua and Barbuda,1814.0,1816.0,1772.0,1720.0,1762.0,1770.0,1883.0,1893.0,2073.0,2181.0
Argentina,736718.0,797264.0,819698.0,849616.0,839897.0,867177.0,885228.0,1039331.0,1036982.0,1033456.0
Armenia,21598.0,23086.0,27009.0,28500.0,29231.0,29167.0,31429.0,35677.0,38442.0,42095.0
Aruba,3315.0,3503.0,3443.0,3594.0,3623.0,3536.0,3510.0,3550.0,3679.0,3759.0
Australia,924359.0,970489.0,983738.0,1083486.0,1111526.0,1113043.0,1174424.0,1233602.0,1298174.0,1345676.0
Austria,355022.0,373031.0,391635.0,406370.0,417060.0,431092.0,459839.0,480673.0,504124.0,521336.0
Azerbaijan,135151.0,135804.0,148340.0,161865.0,166329.0,144146.0,140230.0,139153.0,144632.0,150480.0
Bahamas,10911.0,11207.0,11713.0,11703.0,12288.0,12507.0,12908.0,13857.0,14619.0,15061.0
Bahrain,58163.0,60556.0,65875.0,67717.0,68276.0,62523.0,63831.0,71282.0,74292.0,76994.0
Bangladesh,387229.0,420989.0,473808.0,509208.0,553757.0,595349.0,650672.0,710584.0,785956.0,869044.0
Barbados,4550.0,4614.0,4344.0,4360.0,4322.0,4426.0,4559.0,4519.0,4601.0,4678.0
Belarus,145437.0,156715.0,171038.0,179366.0,179598.0,171204.0,168422.0,173630.0,183398.0,188954.0
Belgium,435309.0,451933.0,469721.0,487344.0,503621.0,521018.0,550808.0,577008.0,599651.0,618928.0
Belize,2439.0,2538.0,2458.0,2499.0,2534.0,2615.0,2645.0,2671.0,2792.0,2786.0
Benin,21748.0,22860.0,24309.0,26709.0,29147.0,30531.0,32668.0,34023.0,37173.0,40435.0
Bhutan,4179.0,4688.0,5194.0,5462.0,5871.0,6591.0,7270.0,7934.0,8434.0,8912.0
Bolivia,51922.0,55765.0,61453.0,69841.0,75554.0,77543.0,82736.0,94285.0,100627.0,104694.0
Bosnia and Herzegovina,35427.0,36495.0,37104.0,38975.0,39732.0,41195.0,44253.0,46394.0,49274.0,51508.0
Botswana,26532.0,28725.0,27718.0,30335.0,34046.0,32971.0,37281.0,38046.0,40704.0,42660.0
Brazil,2798619.0,2970631.0,2998534.0,3133894.0,3187155.0,3014755.0,2939094.0,3017715.0,3130872.0,3222990.0
Brunei,31199.0,33044.0,35210.0,33885.0,33344.0,25949.0,23633.0,25891.0,26526.0,28045.0
Bulgaria,110139.0,115084.0,118659.0,120469.0,126820.0,131659.0,142624.0,151758.0,160195.0,168553.0
Burkina Faso,23441.0,25515.0,26835.0,28735.0,29761.0,31033.0,35311.0,39413.0,43113.0,46379.0
Burundi,5752.0,6109.0,6386.0,7412.0,8020.0,8966.0,8764.0,8784.0,9143.0,9470.0
Cape Verde,2804.0,2977.0,2940.0,2964.0,2979.0,3146.0,3358.0,3571.0,3822.0,4111.0
Cambodia,34739.0,37972.0,42401.0,45764.0,48654.0,52598.0,57942.0,62838.0,69193.0,75390.0
Cameroon,54553.0,57992.0,61350.0,66290.0,72250.0,75965.0,81471.0,87321.0,93050.0,98362.0
Canada,1358781.0,1430807.0,1468095.0,1554123.0,1621397.0,1594899.0,1678387.0,1777242.0,1856559.0,1920997.0
Central African Republic,4207.0,4475.0,4889.0,3285.0,3216.0,3536.0,3862.0,4195.0,4460.0,4675.0
Chad,21765.0,22246.0,22192.0,20808.0,23012.0,25683.0,24494.0,24028.0,25172.0,26379.0
Chile,323407.0,350366.0,374125.0,394277.0,404593.0,407637.0,413399.0,436994.0,465171.0,478771.0
China,12287316.0,13735671.0,15137455.0,16277355.0,17200686.0,17880337.0,18701703.0,19814058.0,21659302.0,23393004.0
Colombia,485314.0,529874.0,553769.0,591783.0,625019.0,630400.0,672094.0,700091.0,734931.0,772440.0
Comoros,1553.0,1651.0,1818.0,1955.0,2063.0,2107.0,2278.0,2468.0,2619.0,2716.0
Democratic Republic of the Congo,40928.0,44655.0,46214.0,53768.0,62685.0,69036.0,75927.0,86267.0,93476.0,99312.0
Republic of the Congo,22864.0,23856.0,28576.0,28056.0,28096.0,22531.0,19019.0,21679.0,20773.0,21012.0
Costa Rica,58248.0,62026.0,66061.0,69477.0,74918.0,80407.0,88230.0,94606.0,99454.0,103339.0
Ivory Coast,72760.0,70672.0,78215.0,86354.0,97907.0,108069.0,112610.0,118051.0,129098.0,139966.0
Croatia,87248.0,88795.0,90201.0,92643.0,93507.0,96740.0,103824.0,110127.0,115810.0,121339.0
Cyprus,27655.0,28346.0,27503.0,26181.0,25611.0,26890.0,30323.0,32589.0,34725.0,36487.0
Czech Republic,293014.0,304401.0,307490.0,324030.0,342100.0,357600.0,381382.0,412903.0,436268.0,454426.0
Denmark,239096.0,247352.0,250525.0,262368.0,270331.0,278823.0,297689.0,317448.0,332837.0,346733.0
Djibouti,3015.0,3303.0,3436.0,3625.0,3855.0,4181.0,4360.0,4612.0,5120.0,5602.0
Dominica,710.0,723.0,706.0,726.0,781.0,793.0,851.0,814.0,838.0,924.0
Dominican Republic,110625.0,116474.0,118183.0,125424.0,136976.0,151560.0,167506.0,175941.0,192745.0,206098.0
Ecuador,136456.0,150267.0,159560.0,175196.0,186847.0,179310.0,181967.0,195011.0,202268.0,205989.0
Egypt,828662.0,860900.0,958660.0,992022.0,985262.0,1064236.0,1057087.0,1062266.0,1145576.0,1230831.0
El Salvador,37890.0,40156.0,40804.0,43093.0,45534.0,48056.0,51095.0,54006.0,56646.0,59032.0
Equatorial Guinea,31108.0,33830.0,38743.0,37423.0,37816.0,28095.0,24861.0,28459.0,27452.0,26238.0
Eritrea,4071.0,5224.0,5425.0,4943.0,6594.0,5312.0,5744.0,5247.0,6074.0,6419.0
Estonia,29985.0,32891.0,34642.0,36433.0,38300.0,38669.0,41545.0,44709.0,47776.0,51059.0
Eswatini,8275.0,8638.0,8922.0,9465.0,9633.0,9764.0,9761.0,9554.0,10013.0,10308.0
Ethiopia,89943.0,102289.0,112533.0,122434.0,148487.0,167119.0,191322.0,215094.0,237224.0,263111.0
