Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Fiji,7372.0,7729.0,8283.0,8942.0,9832.0,10782.0,11020.0,11784.0,12492.0,12550.0
Finland,210595.0,220471.0,221286.0,225680.0,228059.0,232930.0,246904.0,261649.0,271994.0,280024.0
France,2344996.0,2446475.0,2474005.0,2608524.0,2662033.0,2719224.0,2863816.0,2997297.0,3124289.0,3228039.0
Gabon,24097.0,26345.0,26868.0,27464.0,28956.0,28630.0,28685.0,30987.0,32050.0,33854.0
Gambia,4366.0,4095.0,4191.0,4166.0,4103.0,4311.0,4446.0,4589.0,5039.0,5439.0
Georgia,28654.0,31405.0,36640.0,39451.0,43054.0,45036.0,47930.0,50663.0,54392.0,58213.0
Germany,3219132.0,3415020.0,3487234.0,3628559.0,3807115.0,3890125.0,4164749.0,4401871.0,4564715.0,4672006.0
Ghana,99783.0,116331.0,132459.0,139946.0,148487.0,142514.0,139277.0,145509.0,158336.0,171603.0
Greece,312935.0,290297.0,279267.0,286168.0,292335.0,291109.0,299824.0,312844.0,326552.0,338598.0
Grenada,1154.0,1187.0,1200.0,1286.0,1420.0,1551.0,1657.0,1798.0,1918.0,2010.0
Guatemala,95253.0,101565.0,107167.0,112026.0,118754.0,127566.0,130131.0,133805.0,141423.0,149483.0
Guinea,16855.0,18173.0,18497.0,19731.0,20152.0,20799.0,24399.0,29211.0,31761.0,34153.0
Guinea-Bissau,2145.0,2367.0,2307.0,2386.0,2510.0,3050.0,3288.0,3832.0,4056.0,4314.0
Guyana,6292.0,6772.0,7916.0,8370.0,8360.0,8594.0,8714.0,9307.0,9953.0,10673.0
Haiti,15200.0,16375.0,16298.0,17416.0,18135.0,18235.0,19050.0,19366.0,20126.0,20240.0
Honduras,31427.0,33314.0,34844.0,36446.0,39876.0,43955.0,47719.0,52364.0,55603.0,58096.0
Hong Kong,345487.0,369685.0,373483.0,385448.0,396044.0,411294.0,419811.0,442388.0,465909.0,468301.0
Hungary,219630.0,228296.0,229638.0,242362.0,252631.0,262494.0,271845.0,289032.0,311048.0,332203.0
Iceland,12504.0,13005.0,13446.0,14297.0,14966.0,16162.0,17787.0,19075.0,20287.0,21050.0
India,5160827.0,5618382.0,6153153.0,6477517.0,6781022.0,7159796.0,7735002.0,8280934.0,8998685.0,9542255.0
Indonesia,2056980.0,2229512.0,2413435.0,2535041.0,2622252.0,2647707.0,2744897.0,2894126.0,3116823.0,3331872.0
Iran,1271082.0,1337370.0,1195358.0,1157431.0,1153869.0,1039945.0,1078499.0,1133663.0,1097973.0,1044819.0
Iraq,378229.0,415269.0,483559.0,515106.0,490962.0,369702.0,362335.0,411920.0,421362.0,447867.0
Ireland,200621.0,205403.0,212590.0,221104.0,238064.0,324602.0,340381.0,377394.0,422353.0,455165.0
Israel,221508.0,237167.0,250708.0,275251.0,281527.0,297271.0,323076.0,338966.0,359191.0,378203.0
Italy,2113751.0,2173170.0,2172384.0,2187376.0,2200256.0,2241524.0,2420428.0,2529502.0,2610907.0,2665524.0
Jamaica,22270.0,23059.0,23269.0,24133.0,24566.0,25416.0,26718.0,28035.0,29250.0,30040.0
Japan,4484786.0,4573186.0,4746698.0,4967051.0,4986567.0,5136018.0,5076056.0,5180326.0,5319348.0,5450654.0
Jordan,68696.0,72051.0,74340.0,79417.0,81884.0,87705.0,90249.0,97892.0,102181.0,106039.0
Kazakhstan,313789.0,344049.0,369966.0,417452.0,427478.0,407416.0,423833.0,448473.0,478069.0,508501.0
Kenya,97171.0,105263.0,112204.0,125972.0,141101.0,160966.0,178316.0,203207.0,221233.0,237266.0
Kiribati,159.0,165.0,176.0,187.0,189.0,211.0,224.0,230.0,241.0,251.0
South Korea,1535428.0,1625275.0,1684563.0,1726903.0,1792600.0,1933849.0,2026536.0,2105893.0,2219152.0,2304833.0
Kosovo,13820.0,14726.0,15320.0,16009.0,16393.0,17125.0,17886.0,18860.0,20050.0,21224.0
Kuwait,221239.0,247607.0,276884.0,275264.0,258671.0,181157.0,176815.0,206275.0,213859.0,218605.0
Kyrgyzstan,16810.0,18184.0,20288.0,23124.0,24987.0,25107.0,28459.0,31280.0,33139.0,35238.0
Laos,24480.0,26987.0,31202.0,34600.0,39000.0,41583.0,46850.0,50445.0,54915.0,58785.0
Latvia,37565.0,40761.0,43313.0,45673.0,47540.0,49104.0,51741.0,55332.0,59089.0,61465.0
Lebanon,74106.0,76311.0,82065.0,88558.0,94101.0,98433.0,103936.0,109026.0,109493.0,103758.0
Lesotho,4420.0,4770.0,4893.0,5533.0,6038.0,6453.0,6366.0,5836.0,5999.0,6164.0
Liberia,3996.0,4394.0,4856.0,5685.0,6012.0,5753.0,6324.0,7124.0,7385.0,7328.0
Libya,194328.0,66148.0,148702.0,99491.0,53661.0,48497.0,51056.0,69056.0,83357.0,93236.0
Lithuania,63852.0,69113.0,73636.0,78911.0,82564.0,83731.0,88700.0,95659.0,101526.0,107400.0
Luxembourg,45558.0,47690.0,48646.0,51940.0,56354.0,59097.0,64400.0,67280.0,71039.0,73968.0
Macau,53373.0,66298.0,75311.0,88690.0,90949.0,70510.0,70904.0,79018.0,85319.0,82751.0
Madagascar,32465.0,33667.0,34211.0,35257.0,36702.0,37486.0,39997.0,40515.0,43381.0,46256.0
Malawi,14857.0,15904.0,15920.0,17558.0,17576.0,17140.0,17827.0,18121.0,19144.0,20363.0
Malaysia,586732.0,630696.0,677647.0,701700.0,745387.0,750777.0,783874.0,829297.0,889716.0,944565.0
Maldives,4649.0,5153.0,5438.0,6140.0,6957.0,7628.0,8279.0,8930.0,9774.0,10511.0
Mali,27042.0,28340.0,28185.0,29823.0,32435.0,35447.0,39354.0,41592.0,44796.0,47900.0
Malta,11759.0,12061.0,12703.0,13757.0,14924.0,16674.0,18074.0,20135.0,21687.0,23160.0
Marshall Islands,159.0,161.0,160.0,169.0,170.0,175.0,179.0,190.0,201.0,216.0
Mauritania,14941.0,15889.0,16420.0,18036.0,16883.0,16995.0,19569.0,21743.0,22736.0,24499.0
Mauritius,19629.0,20857.0,21304.0,22487.0,23312.0,24280.0,26155.0,27082.0,28775.0,30171.0
Mexico,1806054.0,1911319.0,2012768.0,2064491.0,2173228.0,2230644.0,2383390.0,2472586.0,2587707.0,2625895.0
Federated States of Micronesia,296.0,312.0,312.0,306.0,304.0,321.0,328.0,343.0,352.0,362.0
Moldova,18302.0,19772.0,21055.0,23961.0,25218.0,26233.0,29732.0,32101.0,34187.0,36044.0
Mongolia,20621.0,24692.0,28890.0,30402.0,32507.0,32285.0,32833.0,35222.0,38682.0,41380.0
Montenegro,8518.0,8974.0,8604.0,9237.0,9558.0,10164.0,11324.0,12263.0,13196.0,13914.0
Morocco,207843.0,223316.0,226124.0,236670.0,229402.0,247207.0,253685.0,264289.0,278727.0,289954.0
Mozambique,22568.0,24745.0,25746.0,27733.0,29941.0,34918.0,37951.0,36776.0,38955.0,40556.0
Myanmar,152700.0,164419.0,182371.0,196136.0,209644.0,216278.0,213835.0,225517.0,245723.0,266366.0
Namibia,17751.0,19044.0,20502.0,21848.0,23815.0,24847.0,24643.0,24314.0,25072.0,25276.0
Nauru,49.0,55.0,62.0,83.0,107.0,112.0,117.0,112.0,121.0,125.0
Nepal,51265.0,54127.0,58734.0,63247.0,69781.0,71141.0,70414.0,85625.0,93518.0,101900.0
Netherlands,750336.0,777881.0,792042.0,827476.0,830319.0,852113.0,890399.0,948182.0,993869.0,1028581.0
New Zealand,136680.0,142191.0,144444.0,157646.0,166954.0,170029.0,184586.0,196212.0,207377.0,215768.0
Nicaragua,23186.0,25166.0,26490.0,27950.0,30356.0,32945.0,35895.0,38335.0,37704.0,36889.0
Niger,17496.0,18283.0,20619.0,20861.0,21982.0,22909.0,23875.0,25138.0,27600.0,29751.0
Nigeria,755321.0,808786.0,836150.0,897506.0,971492.0,982912.0,973442.0,990700.0,1033993.0,1075694.0
North Macedonia,23033.0,24064.0,24559.0,26270.0,27776.0,28760.0,31370.0,32458.0,34142.0,35985.0
Norway,298253.0,307472.0,327988.0,340138.0,338506.0,313315.0,308491.0,332135.0,344496.0,354695.0
Oman,135120.0,141481.0,155907.0,158880.0,156303.0,133780.0,129565.0,135696.0,140232.0,141558.0
Pakistan,692117.0,732180.0,752629.0,784863.0,827826.0,872097.0,898016.0,950382.0,1027059.0,1065373.0
Palau,201.0,215.0,223.0,223.0,241.0,255.0,257.0,256.0,278.0,278.0
Palestine,14871.0,16639.0,19943.0,20864.0,22973.0,25416.0,27532.0,28499.0,29542.0,30355.0
Panama,55200.0,62728.0,70434.0,79815.0,89330.0,100479.0,112346.0,125071.0,132802.0,139237.0
Papua New Guinea,19324.0,19946.0,21275.0,22477.0,25993.0,28729.0,30214.0,31871.0,32359.0,34562.0
Paraguay,62437.0,66449.0,64357.0,72178.0,75404.0,76730.0,81538.0,86486.0,91535.0,93141.0
Peru,280852.0,305218.0,318086.0,337915.0,348937.0,355504.0,376398.0,399159.0,424966.0,441962.0
Philippines,528683.0,560551.0,612131.0,654004.0,699662.0,733864.0,798601.0,854095.0,930065.0,1003853.0
Poland,811269.0,869770.0,907167.0,940326.0,973567.0,1020174.0,1073935.0,1145045.0,1235257.0,1309450.0
Portugal,281615.0,282621.0,277992.0,292135.0,298952.0,307312.0,326331.0,340797.0,358182.0,372471.0
Puerto Rico,115090.0,117073.0,118421.0,119192.0,119065.0,118146.0,117009.0,115158.0,112138.0,116423.0
Qatar,249689.0,283716.0,311041.0,322985.0,317406.0,238529.0,220585.0,249963.0,259125.0,265795.0
Romania,346458.0,360795.0,379730.0,395624.0,410589.0,428645.0,479084.0,534707.0,571838.0,605792.0
Russia,3038683.0,3259319.0,3480302.0,3741783.0,3763537.0,3526234.0,3538581.0,3818779.0,4009646.0,4135992.0
Rwanda,13474.0,14997.0,15780.0,16762.0,19002.0,20620.0,22076.0,23665.0,26312.0,29298.0
Samoa,871.0,926.0,906.0,918.0,935.0,985.0,1075.0,1106.0,1108.0,1168.0
San Marino,1964.0,1834.0,1748.0,1740.0,1825.0,1850.0,1925.0,1982.0,2064.0,2124.0
São Tomé and Príncipe,519.0,553.0,557.0,638.0,747.0,765.0,790.0,811.0,856.0,882.0
Saudi Arabia,1413023.0,1586749.0,1672471.0,1680158.0,1722862.0,1541832.0,1475672.0,1565892.0,1642519.0,1677383.0
Senegal,33758.0,34966.0,37054.0,37891.0,40124.0,43318.0,46119.0,49402.0,53807.0,57663.0
Serbia,95468.0,99446.0,100311.0,104804.0,104531.0,105878.0,111749.0,116542.0,124582.0,132115.0
Seychelles,1703.0,1832.0,1904.0,2012.0,2183.0,2248.0,2431.0,2611.0,2774.0,2934.0
Sierra Leone,7276.0,7897.0,9434.0,11988.0,12544.0,11469.0,12300.0,12234.0,12961.0,13898.0
Singapore,382249.0,414967.0,435965.0,448140.0,461772.0,481405.0,501213.0,532833.0,564385.0,578673.0
Slovakia,133913.0,140627.0,145645.0,151398.0,157095.0,162303.0,161032.0,168113.0,178857.0,186417.0
Slovenia,57680.0,59392.0,59746.0,61744.0,63653.0,65283.0,69940.0,75735.0,80747.0,84196.0
Solomon Islands,1027.0,1125.0,1168.0,1252.0,1288.0,1319.0,1411.0,1515.0,1612.0,1660.0
Somalia,,13105.0,10156.0,9015.0,9864.0,11346.0,12230.0,12655.0,13322.0,13953.0
South Africa,600342.0,633011.0,637034.0,668458.0,682955.0,695228.0,707744.0,724101.0,747322.0,761824.0
South Sudan,,32402.0,14508.0,17633.0,17392.0,16179.0,12577.0,11185.0,11233.0,11533.0
Spain,1471088.0,1489595.0,1483647.0,1512074.0,1558307.0,1621505.0,1733039.0,1843951.0,1932664.0,2006054.0
Sri Lanka,166030.0,183744.0,210688.0,223390.0,233895.0,242361.0,259190.0,269854.0,285469.0,297201.0
Saint Kitts and Nevis,1083.0,1126.0,1072.0,1115.0,1216.0,1225.0,1287.0,1320.0,1391.0,1456.0
Saint Lucia,2175.0,2327.0,2311.0,2394.0,2454.0,2427.0,2573.0,2705.0,2843.0,2943.0
Saint Vincent and the Grenadines,1098.0,1116.0,1134.0,1185.0,1231.0,1271.0,1364.0,1345.0,1407.0,1438.0
Sudan,171821.0,169773.0,137750.0,142298.0,168145.0,172515.0,188840.0,180267.0,180360.0,178950.0
Suriname,7169.0,7747.0,8543.0,9203.0,9550.0,8987.0,8025.0,9340.0,9811.0,10013.0
Sweden,400106.0,421516.0,432488.0,444617.0,457508.0,481300.0,500373.0,530433.0,553761.0,570754.0
Switzerland,427663.0,444602.0,462516.0,486394.0,507097.0,529502.0,550365.0,567524.0,597066.0,615309.0
Syria,136344.0,,,,,,,,,
Taiwan,889427.0,941367.0,973232.0,1015239.0,1066102.0,1102036.0,1112781.0,1143224.0,1202811.0,1257446.0
Tajikistan,17526.0,19216.0,21657.0,24570.0,27630.0,25288.0,26829.0,27389.0,30094.0,32929.0
Tanzania,88974.0,98013.0,95918.0,103322.0,108827.0,117377.0,127683.0,134162.0,146944.0,159993.0
Thailand,886663.0,912790.0,1008787.0,1049948.0,1059446.0,1087225.0,1146218.0,1205675.0,1285869.0,1339643.0
Timor-Leste,2148.0,2320.0,2629.0,2864.0,3195.0,3489.0,3830.0,3936.0,3999.0,4197.0
Togo,7349.0,7982.0,8313.0,8870.0,9482.0,10233.0,10878.0,11633.0,12497.0,13394.0
Tonga,425.0,463.0,476.0,486.0,505.0,516.0,556.0,585.0,601.0,616.0
Trinidad and Tobago,41073.0,41850.0,40430.0,40692.0,40459.0,37698.0,36189.0,36605.0,37392.0,38059.0
Tunisia,108007.0,108148.0,110825.0,112068.0,115567.0,114133.0,117101.0,121255.0,127538.0,131087.0
Turkey,1280896.0,1454112.0,1550688.0,1703670.0,1860471.0,2022940.0,2116184.0,2282304.0,2406255.0,2471660.0
Turkmenistan,49900.0,58441.0,63516.0,68363.0,73746.0,76192.0,78516.0,81788.0,88905.0,96231.0
Tuvalu,29.0,32.0,31.0,33.0,34.0,38.0,40.0,43.0,45.0,49.0
Uganda,73717.0,81034.0,77235.0,80260.0,84146.0,84376.0,85711.0,89315.0,97076.0,105389.0
Ukraine,378239.0,407226.0,425994.0,486365.0,461987.0,435490.0,475722.0,504188.0,533874.0,560976.0
United Arab Emirates,554739.0,605575.0,631707.0,647296.0,678339.0,601179.0,598811.0,637385.0,660454.0,683523.0
United Kingdom,2267766.0,2350797.0,2440476.0,2563271.0,2665878.0,2768619.0,2897573.0,3037045.0,3151659.0,3254845.0
United States,14992050.0,15542600.0,16197050.0,16784825.0,17527275.0,18238300.0,18745100.0,19542975.0,20611875.0,21433225.0
Uruguay,56493.0,60650.0,61471.0,64840.0,68327.0,68983.0,70776.0,73286.0,76261.0,77795.0
Uzbekistan,146357.0,161046.0,170097.0,179717.0,189421.0,198534.0,205512.0,211135.0,227980.0,244960.0
Vanuatu,592.0,612.0,635.0,658.0,686.0,694.0,725.0,772.0,813.0,855.0
Venezuela,476095.0,506340.0,545085.0,562097.0,550205.0,520885.0,436659.0,375151.0,308781.0,204291.0
Vietnam,471196.0,511889.0,568401.0,607018.0,660612.0,700257.0,770872.0,851064.0,933163.0,1016475.0
Yemen,96373.0,85876.0,85441.0,92756.0,94294.0,68543.0,62769.0,60706.0,62631.0,65088.0
Zambia,43252.0,46612.0,49509.0,53420.0,54506.0,54473.0,55712.0,58735.0,62572.0,64607.0
Zimbabwe,23247.0,27102.0,31161.0,34187.0,35496.0,37016.0,38427.0,42818.0,45379.0,43168.0
