Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Afghanistan,,,,,,,,,,
Albania,5547.0,6410.0,7005.0,7362.0,7776.0,7904.0,8515.0,8662.0,8840.0,10084.0
Algeria,86255.0,97138.0,109768.0,120263.0,131504.0,143312.0,145909.0,148586.0,150865.0,164255.0
Angola,14949.0,15626.0,16595.0,17975.0,19729.0,21073.0,22122.0,23613.0,25937.0,26957.0
Antigua and Barbuda,276.0,312.0,328.0,363.0,415.0,460.0,508.0,558.0,609.0,671.0
Argentina,176595.0,181994.0,187200.0,201854.0,213199.0,204727.0,223778.0,235293.0,238765.0,230669.0
Armenia,,,,,,,,,,
Australia,154527.0,175929.0,186961.0,193421.0,212996.0,231806.0,242268.0,260608.0,281203.0,305637.0
Austria,84466.0,92261.0,99855.0,106708.0,110861.0,116975.0,122127.0,127349.0,133073.0,143621.0
Azerbaijan,,,,,,,,,,
Bahamas,2511.0,2666.0,3010.0,3341.0,3543.0,3806.0,3984.0,4237.0,4484.0,4765.0
Bahrain,6199.0,6967.0,7873.0,8756.0,9446.0,9658.0,9900.0,10029.0,10998.0,11541.0
Bangladesh,42099.0,47445.0,52005.0,56549.0,61002.0,65312.0,69284.0,73135.0,77502.0,83977.0
Barbados,1355.0,1453.0,1467.0,1533.0,1645.0,1716.0,1840.0,1936.0,2074.0,2232.0
Belarus,,,,,,,,,,
Belgium,106819.0,116467.0,124429.0,129745.0,137663.0,144415.0,150012.0,157389.0,170592.0,183374.0
Belize,205.0,225.0,221.0,243.0,280.0,285.0,312.0,391.0,448.0,538.0
Benin,2694.0,3002.0,3242.0,3303.0,3434.0,3697.0,3875.0,3891.0,4166.0,4204.0
Bhutan,196.0,243.0,279.0,311.0,347.0,374.0,412.0,508.0,605.0,667.0
Bolivia,10787.0,11829.0,12069.0,12038.0,12440.0,12623.0,12546.0,13183.0,14042.0,15141.0
Bosnia and Herzegovina,,,,,,,,,,
Botswana,1789.0,2115.0,2603.0,2998.0,3307.0,3675.0,4072.0,4798.0,6129.0,6665.0
Brazil,570249.0,596062.0,636815.0,639447.0,697282.0,776449.0,851863.0,905061.0,939219.0,1006965.0
Brunei,,,,,,12100.0,12001.0,12346.0,12732.0,13519.0
Bulgaria,39489.0,45464.0,50313.0,53868.0,58346.0,61297.0,65847.0,70701.0,74933.0,77457.0
Burkina Faso,2375.0,2666.0,2871.0,2948.0,3102.0,3563.0,3924.0,4015.0,4396.0,4665.0
Burundi,1388.0,1703.0,1789.0,1929.0,2000.0,2308.0,2431.0,2630.0,2859.0,3010.0
Cape Verde,231.0,274.0,299.0,340.0,366.0,410.0,430.0,460.0,505.0,554.0
Cambodia,,,,,,,,4309.0,4889.0,5248.0
Cameroon,10371.0,13272.0,15162.0,16839.0,18739.0,20906.0,22776.0,22854.0,21794.0,22241.0
Canada,287254.0,325078.0,334192.0,356411.0,390928.0,422537.0,440375.0,470115.0,508124.0,540150.0
Central African Republic,926.0,1144.0,1171.0,1144.0,1302.0,1394.0,1525.0,1563.0,1646.0,1802.0
Chad,1911.0,1864.0,2086.0,2507.0,2733.0,3043.0,3290.0,3497.0,3892.0,4122.0
Chile,38354.0,44540.0,40876.0,41299.0,45282.0,47651.0,51332.0,56106.0,62302.0,71589.0
China,305945.0,351572.0,406990.0,468745.0,559159.0,654954.0,727625.0,833501.0,960161.0,1039392.0
Colombia,78857.0,88184.0,94543.0,99822.0,106828.0,113672.0,122718.0,132607.0,142827.0,153447.0
Comoros,246.0,284.0,313.0,336.0,362.0,381.0,397.0,414.0,440.0,442.0
Democratic Republic of the Congo,19622.0,21657.0,22896.0,24136.0,26203.0,27167.0,29023.0,30559.0,31775.0,32595.0
Republic of the Congo,3126.0,3507.0,3814.0,4060.0,4304.0,4546.0,4747.0,4981.0,6285.0,7918.0
Costa Rica,8173.0,8734.0,8601.0,9196.0,10286.0,10692.0,11512.0,12368.0,13240.0,14534.0
Ivory Coast,15382.0,17406.0,18523.0,18773.0,19050.0,20368.0,21776.0,22220.0,23260.0,24877.0
Croatia,,,,,,,,,,
Cyprus,3242.0,3653.0,4123.0,4514.0,5087.0,5499.0,5811.0,6384.0,7157.0,8037.0
Czech Republic,,,,,,,,,,
Denmark,58975.0,64058.0,70533.0,75224.0,81140.0,87087.0,93200.0,95822.0,99160.0,103685.0
Djibouti,,,,,,,,,,
Dominica,125.0,151.0,167.0,178.0,192.0,201.0,220.0,240.0,267.0,277.0
Dominican Republic,13501.0,15393.0,16626.0,18082.0,18958.0,19150.0,20224.0,22838.0,24147.0,26190.0
Ecuador,26063.0,29608.0,31823.0,32153.0,34692.0,37378.0,39311.0,37907.0,43347.0,45161.0
Egypt,91072.0,101764.0,115964.0,131241.0,146799.0,162746.0,173929.0,185989.0,200188.0,214196.0
El Salvador,10096.0,10407.0,10356.0,10930.0,11469.0,11909.0,12172.0,12797.0,13493.0,14153.0
Equatorial Guinea,100.0,115.0,125.0,136.0,143.0,166.0,166.0,177.0,188.0,193.0
Eritrea,,,,,,,,,,
Estonia,,,,,,,,,,
Ethiopia,10709.0,11709.0,12555.0,14075.0,14238.0,13017.0,14566.0,17010.0,17707.0,18311.0
Fiji,1433.0,1661.0,1744.0,1737.0,1980.0,1967.0,2139.0,2035.0,2180.0,2579.0
Finland,44985.0,49822.0,54547.0,58470.0,62491.0,66771.0,69974.0,74315.0,80924.0,88347.0
France,578363.0,639182.0,695869.0,732425.0,769980.0,807519.0,843169.0,886975.0,961482.0,1042354.0
Gabon,6775.0,7112.0,7863.0,8336.0,9055.0,9887.0,9874.0,8567.0,9177.0,11005.0
Gambia,435.0,431.0,552.0,652.0,623.0,667.0,696.0,734.0,773.0,838.0
Georgia,,,,,,,,,,
Germany,866222.0,948148.0,999039.0,1054620.0,1122911.0,1184249.0,1237329.0,1287554.0,1382408.0,1492361.0
Ghana,9730.0,10266.0,10149.0,10038.0,11326.0,12284.0,13183.0,14168.0,15489.0,16910.0
Greece,87056.0,93703.0,98392.0,101174.0,106867.0,113058.0,115931.0,116207.0,125432.0,135260.0
Grenada,190.0,211.0,233.0,251.0,270.0,295.0,323.0,362.0,385.0,415.0
Guatemala,19425.0,21375.0,21897.0,22186.0,23091.0,23687.0,24189.0,25694.0,27628.0,29834.0
Guinea,2700.0,2970.0,3211.0,3381.0,3550.0,3847.0,4047.0,4287.0,4717.0,5096.0
Guinea-Bissau,463.0,504.0,558.0,560.0,612.0,658.0,665.0,720.0,760.0,812.0
Guyana,1276.0,1403.0,1358.0,1249.0,1321.0,1369.0,1393.0,1427.0,1388.0,1371.0
Haiti,6392.0,7062.0,7291.0,7465.0,7745.0,8054.0,8239.0,8412.0,8755.0,8993.0
Honduras,5237.0,5871.0,6149.0,6332.0,6842.0,7357.0,7559.0,8220.0,8900.0,9646.0
Hong Kong,34503.0,41193.0,45011.0,49602.0,56500.0,58725.0,66561.0,77403.0,86932.0,92369.0
Hungary,67712.0,76157.0,83180.0,87089.0,92576.0,95297.0,98711.0,105331.0,108947.0,114017.0
Iceland,2480.0,2827.0,3067.0,3120.0,3364.0,3586.0,3887.0,4327.0,4475.0,4661.0
India,381961.0,442709.0,486519.0,542586.0,583309.0,633604.0,677253.0,722079.0,819310.0,901792.0
Indonesia,184423.0,216977.0,235616.0,255186.0,284257.0,304810.0,333309.0,364280.0,403345.0,457097.0
Iran,197213.0,203343.0,266000.0,307155.0,295347.0,310491.0,285757.0,292546.0,284371.0,313545.0
Iraq,,,,,,,,,,
Ireland,25417.0,28488.0,30708.0,31687.0,33863.0,35627.0,36500.0,38794.0,41356.0,45376.0
Israel,27612.0,31616.0,34056.0,36316.0,38436.0,41431.0,43767.0,48246.0,51715.0,54489.0
Italy,594543.0,655545.0,699098.0,735190.0,785840.0,833680.0,874811.0,925776.0,998372.0,1072339.0
Jamaica,6101.0,6965.0,7625.0,8255.0,8629.0,8825.0,9633.0,10640.0,10573.0,11500.0
Japan,1027017.0,1169815.0,1284347.0,1375908.0,1488337.0,1633243.0,1713341.0,1829241.0,2028581.0,2220638.0
Jordan,8247.0,10567.0,12011.0,12209.0,13184.0,13238.0,14248.0,14951.0,15701.0,14561.0
Kazakhstan,,,,,,,,,,
Kenya,16032.0,18248.0,20360.0,21500.0,22620.0,24294.0,26514.0,28771.0,31592.0,34315.0
Kiribati,58.0,62.0,70.0,72.0,78.0,76.0,76.0,71.0,80.0,81.0
South Korea,83261.0,97572.0,112191.0,132062.0,151029.0,167941.0,190557.0,219784.0,254558.0,283047.0
Kosovo,,,,,,,,,,
Kuwait,45323.0,40178.0,38616.0,42249.0,46040.0,45491.0,50383.0,55876.0,52020.0,68037.0
Kyrgyzstan,,,,,,,,,,
Laos,1871.0,2359.0,2623.0,2809.0,3096.0,3486.0,3728.0,3787.0,3837.0,4380.0
Latvia,,,,,,,,,,
Lebanon,15480.0,17018.0,11425.0,14573.0,21802.0,27967.0,26598.0,31840.0,23659.0,14208.0
Lesotho,673.0,759.0,851.0,911.0,984.0,1049.0,1113.0,1166.0,1300.0,1426.0
Liberia,,,,,,,,,,
Libya,94971.0,83029.0,89519.0,88671.0,84191.0,87413.0,79052.0,69150.0,76995.0,85748.0
Lithuania,,,,,,,,,,
Luxembourg,5661.0,6239.0,6695.0,7091.0,7690.0,8380.0,9402.0,10023.0,11252.0,12835.0
Macau,,,,,,,,,,
North Macedonia,,,,,,,,,,
Madagascar,7827.0,7719.0,8042.0,8435.0,8888.0,9278.0,9651.0,10014.0,10717.0,11588.0
Malawi,2415.0,2502.0,2724.0,2936.0,3203.0,3457.0,3519.0,3668.0,3917.0,4124.0
Malaysia,45825.0,53582.0,60287.0,66584.0,74299.0,76005.0,78431.0,84767.0,96453.0,109282.0
Maldives,171.0,202.0,230.0,250.0,304.0,357.0,395.0,441.0,497.0,564.0
Mali,3940.0,4112.0,3863.0,4145.0,4396.0,4683.0,5069.0,5328.0,5517.0,6344.0
Malta,1923.0,2160.0,2296.0,2449.0,2556.0,2701.0,2860.0,3100.0,3427.0,3813.0
Marshall Islands,,,,,,,,,,
Mauritania,,,,,,,,,,
Mauritius,1879.0,2176.0,2438.0,2544.0,2760.0,3044.0,3408.0,3850.0,4255.0,4618.0
Mexico,390421.0,463269.0,489450.0,491033.0,525802.0,554499.0,548261.0,571939.0,599556.0,648443.0
Federated States of Micronesia,,,,,,,,,,
Moldova,,,,,,,,,,
Mongolia,2930.0,3471.0,3994.0,4392.0,4817.0,5253.0,5864.0,6227.0,6777.0,7335.0
Montenegro,,,,,,,,,,
Morocco,28898.0,30723.0,35767.0,36972.0,39945.0,43830.0,48425.0,48397.0,55308.0,58819.0
Mozambique,2089.0,2399.0,2372.0,2078.0,2012.0,2097.0,2090.0,2459.0,2754.0,3047.0
Myanmar,,,,,,,,,,
Namibia,,,,,,,,,,
Nauru,,,,,,,,,,
Nepal,6021.0,7132.0,7861.0,7928.0,9004.0,9863.0,10522.0,10973.0,12232.0,13257.0
Netherlands,164760.0,179218.0,187896.0,198746.0,212219.0,224828.0,236529.0,247054.0,267429.0,290111.0
New Zealand,27586.0,31055.0,33931.0,35226.0,38978.0,40713.0,42286.0,44422.0,46232.0,48741.0
Nicaragua,6062.0,6983.0,7356.0,7999.0,8154.0,8071.0,8150.0,8299.0,7524.0,7685.0
Niger,3095.0,3378.0,3666.0,3663.0,3155.0,3508.0,3806.0,3906.0,4321.0,4532.0
Nigeria,,,,,,,,,,
Norway,61278.0,68071.0,72464.0,78317.0,86005.0,93686.0,99438.0,103764.0,107122.0,112443.0
