Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Oman,11808.0,15117.0,17902.0,21576.0,25448.0,30077.0,31341.0,30858.0,33614.0,35962.0
Pakistan,71808.0,83387.0,95257.0,105739.0,113842.0,127716.0,138581.0,150376.0,165657.0,180374.0
Palau,,,,,,,,,,
Panama,7021.0,8383.0,9379.0,9312.0,9903.0,10725.0,11332.0,11411.0,10230.0,10794.0
Papua New Guinea,3095.0,3423.0,3666.0,3942.0,4041.0,4320.0,4656.0,4907.0,5226.0,5352.0
Paraguay,10639.0,12714.0,13311.0,13411.0,14287.0,15309.0,15658.0,16699.0,18305.0,20129.0
Peru,53800.0,62035.0,65671.0,61895.0,66527.0,70090.0,80160.0,88567.0,83031.0,74682.0
Philippines,90284.0,102094.0,112353.0,118977.0,114177.0,109221.0,115230.0,123266.0,136196.0,150272.0
Poland,169037.0,166339.0,168098.0,184518.0,190367.0,204046.0,215434.0,226017.0,241614.0,260578.0
Portugal,58724.0,66469.0,72120.0,75695.0,77565.0,81357.0,85753.0,94653.0,103198.0,114339.0
Puerto Rico,23792.0,26291.0,27071.0,28272.0,31417.0,33091.0,36514.0,39287.0,43309.0,47216.0
Qatar,17631.0,18527.0,18061.0,17773.0,21346.0,19159.0,20269.0,20974.0,22728.0,24864.0
Romania,107565.0,117727.0,129907.0,143137.0,157110.0,161976.0,169207.0,174914.0,180132.0,176282.0
Russia,,,,,,,,,,
Rwanda,2108.0,2362.0,2447.0,2697.0,3155.0,3398.0,3658.0,3740.0,3882.0,3803.0
Samoa,210.0,209.0,220.0,230.0,242.0,265.0,283.0,292.0,311.0,341.0
San Marino,,,,,,,,,,
São Tomé and Príncipe,123.0,121.0,132.0,132.0,128.0,145.0,139.0,138.0,146.0,157.0
Saudi Arabia,360340.0,401642.0,338136.0,295065.0,291295.0,271172.0,323704.0,309948.0,362852.0,375066.0
Senegal,4630.0,5319.0,6092.0,5995.0,6441.0,6865.0,7221.0,7857.0,8084.0,8732.0
Serbia,,,,,,,,,,
Seychelles,285.0,299.0,311.0,322.0,347.0,395.0,406.0,437.0,477.0,546.0
Sierra Leone,2892.0,3221.0,3482.0,3562.0,3751.0,3610.0,3688.0,3872.0,4090.0,4460.0
Singapore,21367.0,25858.0,29432.0,33207.0,37412.0,38343.0,39636.0,45020.0,51775.0,59266.0
Slovakia,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,176.0,189.0,198.0,213.0,221.0,221.0,225.0,251.0,263.0,284.0
South Africa,134666.0,155133.0,164127.0,167455.0,182240.0,185793.0,189573.0,198495.0,214073.0,227723.0
South Sudan,,,,,,,,,,
Spain,296856.0,323251.0,347559.0,367248.0,386739.0,408542.0,431081.0,467323.0,509242.0,555517.0
Sri Lanka,16576.0,19092.0,21338.0,22915.0,25324.0,27430.0,29181.0,30361.0,32271.0,34281.0
Saint Kitts and Nevis,141.0,158.0,178.0,181.0,206.0,226.0,251.0,279.0,318.0,351.0
Saint Lucia,247.0,283.0,307.0,332.0,372.0,432.0,507.0,542.0,641.0,727.0
Saint Vincent and the Grenadines,167.0,189.0,206.0,221.0,241.0,259.0,279.0,288.0,337.0,362.0
Sudan,17924.0,20836.0,23042.0,23590.0,23053.0,23642.0,26514.0,28948.0,31268.0,32945.0
Suriname,2083.0,2321.0,2310.0,2278.0,2288.0,2340.0,2330.0,2179.0,2499.0,2656.0
Eswatini,900.0,1128.0,1212.0,1275.0,1402.0,1501.0,1720.0,2021.0,2229.0,2615.0
Sweden,87473.0,99983.0,107701.0,114256.0,123392.0,130233.0,136748.0,144818.0,153575.0,163476.0
Switzerland,107336.0,119190.0,124716.0,130543.0,139355.0,149119.0,154956.0,161324.0,172466.0,187012.0
Syria,18886.0,22397.0,24401.0,25771.0,24952.0,27629.0,26845.0,27875.0,32520.0,31735.0
Taiwan,72472.0,72460.0,80647.0,91412.0,104168.0,112669.0,128176.0,148145.0,165626.0,187121.0
Tajikistan,,,,,,,,,,
Tanzania,10994.0,12081.0,12908.0,13739.0,14710.0,15879.0,17269.0,18754.0,20265.0,21853.0
Thailand,74627.0,86418.0,96692.0,106119.0,116214.0,125501.0,135117.0,151755.0,177939.0,207399.0
Timor-Leste,,,,,,,,,,
Togo,2116.0,2235.0,2286.0,2253.0,2470.0,2644.0,2786.0,2786.0,3175.0,3434.0
Tonga,67.0,84.0,101.0,111.0,165.0,180.0,200.0,208.0,208.0,219.0
Trinidad and Tobago,8217.0,9363.0,10322.0,9623.0,9392.0,9293.0,9169.0,8974.0,8924.0,9329.0
Tunisia,13594.0,15684.0,16577.0,18036.0,19747.0,21534.0,21649.0,23689.0,24536.0,26147.0
Turkey,155384.0,177308.0,194767.0,212088.0,234598.0,252415.0,275378.0,310724.0,328423.0,342057.0
Turkmenistan,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,4687.0,5322.0,6116.0,6669.0,6698.0,6705.0,6905.0,7365.0,8255.0,9125.0
Ukraine,,,,,,,,,,
United Arab Emirates,75713.0,89425.0,88146.0,86815.0,93897.0,94458.0,77795.0,84012.0,84672.0,101804.0
United Kingdom,498558.0,540864.0,586000.0,634841.0,672324.0,722892.0,760720.0,821947.0,899954.0,959099.0
United States,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0
Uruguay,12461.0,13884.0,13368.0,13439.0,13764.0,14414.0,16007.0,17718.0,18608.0,19544.0
Uzbekistan,,,,,,,,,,
Vanuatu,110.0,125.0,135.0,145.0,164.0,171.0,175.0,174.0,177.0,187.0
Venezuela,117193.0,126484.0,137885.0,129202.0,140775.0,146540.0,158584.0,170439.0,187890.0,168025.0
Vietnam,23595.0,27294.0,31350.0,34899.0,39172.0,42697.0,45020.0,47346.0,51502.0,57678.0
Yemen,,,,,,,,,,
Zambia,8014.0,9343.0,9634.0,9899.0,10075.0,10526.0,10920.0,11366.0,12854.0,12866.0
Zimbabwe,,,,,,,,,,
